playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,tacklesWon,totalShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,unsuccessfulLayoffs,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,blocks,totalFoulsConceded,clearancesOffTheLine,throwInsToOwnPlayer,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,throughBalls,offsides,successfulCrossesAndCorners,attemptsFromSetPieces,goals,awayGoals,penaltiesConceded,homeGoals,headedGoals,otherGoals,handballsConceded,rightFootGoals,foulWonPenalty,leftFootGoals,hitWoodwork,cornersTakenInclShortCorners,redCards2ndYellow,unsuccessfulCornersIntoBox,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,forwardPasses,setPiecesGoals
51933,Jordan Spence,Defender,Ipswich Town,40,England,2009-10,,,0.0,,1.0,,,1.0,,,1.0,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,0.0,1.0,,,1.0,,,,1.0,,,1.0,,0.0,,1.0,,,,,,,,2.0,,,,,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Danny Gabbidon,Defender,Cardiff City,97,Wales,2009-10,27.0,,0.0,,13.0,,34.0,10.0,8.0,49.0,248.0,,,36.0,,,715.0,43.0,3.0,21.0,178.0,,,1.0,,1.0,4.0,98.0,21.0,13.0,,7.0,0.0,70.0,,25.0,10.0,,,7.0,41.0,18.0,4.0,34.0,22.0,0.0,,245.0,,101.0,1.0,,,23.0,21.0,443.0,1.0,14.0,158.0,,0.0,15.0,14.0,2.0,6.0,2.0,1.0,1.0,4.0,1.0,14.0,5.0,4.0,1.0,2.0,4.0,2.0,14.0,9.0,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49413,James Tomkins,Defender,Crystal Palace,31,England,2009-10,91.0,,0.0,,29.0,,94.0,23.0,22.0,143.0,744.0,,,139.0,5.0,,1996.0,122.0,6.0,45.0,531.0,,,4.0,,4.0,19.0,270.0,37.0,29.0,,15.0,0.0,213.0,,81.0,23.0,,,4.0,154.0,31.0,5.0,74.0,77.0,0.0,,704.0,2.0,275.0,1.0,,,55.0,70.0,1195.0,2.0,43.0,449.0,,0.0,49.0,42.0,1.0,25.0,14.0,,,3.0,,62.0,25.0,,1.0,1.0,3.0,12.0,18.0,11.0,,4.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
1640,Matt Upson,Defender,MK Dons,22,England,2009-10,99.0,,0.0,,54.0,,176.0,33.0,33.0,242.0,1133.0,,,142.0,8.0,,2905.0,146.0,7.0,68.0,763.0,,,5.0,,12.0,37.0,387.0,50.0,35.0,,13.0,0.0,245.0,,77.0,33.0,,,10.0,292.0,43.0,2.0,103.0,78.0,0.0,,1099.0,4.0,426.0,1.0,,,60.0,128.0,1734.0,1.0,58.0,599.0,,3.0,66.0,75.0,,44.0,15.0,,2.0,1.0,,64.0,31.0,1.0,3.0,,1.0,8.0,27.0,28.0,2.0,,,4.0,7.0,1.0,,,,3.0,3.0,3.0,0.0,2.0,1.0,1.0,,,,,,,,,,,,
37753,Julien Faubert,Defender,Bordeaux,140,France,2009-10,131.0,,0.0,,49.0,,205.0,33.0,32.0,301.0,1090.0,,,63.0,8.0,,2820.0,120.0,6.0,92.0,718.0,,,4.0,,25.0,20.0,120.0,49.0,96.0,,21.0,0.0,251.0,,168.0,33.0,,,9.0,410.0,43.0,49.0,188.0,28.0,0.0,,1071.0,23.0,578.0,22.0,,,56.0,71.0,1987.0,2.0,69.0,403.0,,6.0,96.0,102.0,1.0,40.0,6.0,3.0,8.0,131.0,1.0,35.0,11.0,33.0,2.0,25.0,132.0,5.0,9.0,32.0,1.0,297.0,24.0,1.0,1.0,6.0,,24.0,,1.0,0.0,2.0,1.0,,,2.0,1.0,,,,,,,,,,,
18005,Jonathan Spector,Defender,Birmingham City,41,United States,2009-10,92.0,,0.0,,73.0,,162.0,27.0,22.0,216.0,839.0,,,38.0,5.0,,2238.0,137.0,8.0,117.0,567.0,,,1.0,1.0,15.0,19.0,148.0,44.0,74.0,,29.0,0.0,229.0,,96.0,27.0,,,14.0,280.0,36.0,34.0,191.0,20.0,0.0,,826.0,3.0,393.0,15.0,,,51.0,56.0,1522.0,1.0,39.0,346.0,,2.0,54.0,66.0,5.0,59.0,3.0,,5.0,30.0,,18.0,14.0,44.0,1.0,18.0,30.0,3.0,5.0,23.0,,187.0,3.0,2.0,,5.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,
37863,Manuel da Costa,Defender,Trabzonspor,383,Morocco,2009-10,54.0,,0.0,,28.0,,64.0,15.0,12.0,133.0,413.0,,,75.0,1.0,,1094.0,96.0,4.0,45.0,246.0,,,1.0,,1.0,13.0,154.0,25.0,30.0,,10.0,0.0,150.0,,58.0,15.0,,,9.0,78.0,21.0,10.0,75.0,51.0,0.0,,396.0,4.0,220.0,7.0,,,33.0,34.0,709.0,,55.0,202.0,,0.0,69.0,27.0,3.0,19.0,9.0,,1.0,,,24.0,14.0,,1.0,3.0,,6.0,12.0,13.0,,2.0,,,3.0,1.0,,,2.0,2.0,2.0,1.0,0.0,,,1.0,1.0,,1.0,,,,,,,,,
33305,Herita Ilunga,Defender,West Ham United,21,DR Congo,2009-10,64.0,,0.0,,35.0,,79.0,16.0,16.0,100.0,545.0,,,36.0,1.0,,1210.0,75.0,4.0,60.0,435.0,,,3.0,,7.0,3.0,61.0,27.0,43.0,,19.0,0.0,139.0,,56.0,16.0,,,5.0,232.0,23.0,21.0,103.0,15.0,0.0,,529.0,4.0,183.0,6.0,,,15.0,10.0,893.0,5.0,17.0,217.0,,2.0,21.0,20.0,,30.0,2.0,1.0,6.0,12.0,1.0,21.0,12.0,16.0,,12.0,13.0,,7.0,15.0,,113.0,4.0,2.0,2.0,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,
49905,Fabio Daprelà,Defender,Lugano,935,Switzerland,2009-10,26.0,,0.0,,15.0,,22.0,7.0,4.0,25.0,141.0,,,8.0,,,372.0,31.0,2.0,27.0,111.0,,,1.0,,2.0,3.0,24.0,10.0,22.0,,8.0,0.0,57.0,,5.0,7.0,,,4.0,50.0,8.0,8.0,49.0,4.0,0.0,,135.0,,51.0,4.0,,,4.0,5.0,250.0,,4.0,67.0,,2.0,3.0,6.0,3.0,11.0,,,,2.0,,4.0,2.0,4.0,,2.0,2.0,,3.0,10.0,,30.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
58622,Bondz N'Gala,Defender,Crawley Town,1525,England,2009-10,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
