playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,backwardPasses,throwInsToOwnPlayer,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,offsides,ownGoalScored,shotsBlockedInBox,redCards2ndYellow,iboxBlocked,goals,awayGoals,homeGoals,lastPlayerTackle,headedGoals,clearancesOffTheLine,handballsConceded,throughBalls,goalAssists,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,unsuccessfulLayoffs,successfulCornersIntoBox,oboxTarget,unsuccessfulCornersIntoBox,hitWoodwork,foulWonPenalty,rightFootGoals,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,leftFootGoals,setPiecesGoals,penaltiesTaken,penaltyGoals
50229,Matt Phillips,Midfielder,Stevenage,288,Scotland,2014-15,209.0,,2.2246,0.0,,37.0,,140.0,25.0,20.0,181.0,513.0,,,100.0,2.0,,1822.0,64.0,127.0,7.0,58.0,91.0,310.0,,,1.0,44.0358,26.0,4.0,21.0,47.0,145.0,65.0,,13.0,0.0,336.0,36.0,,199.0,124.0,25.0,,,260.0,40.0,236.0,36.0,0.0,,502.0,483.0,27.0,42.0,,,146.0,13.0,22.0,1108.0,4.0,21.0,106.0,,1.0,41.0,36.0,5.0,15.0,8.0,11.0,19.0,2.5921,34.0,6.0,84.0,4.0,34.0,3.0,3.0,1.0,48.0,8.0,10.0,47.0,120.0,108.0,23.0,31.0,2.0,19.0,103.0,17.0,4.0,7.0,3.0227,4.0,,4.0,,4.0,3.0,2.0,1.0,,2.0,,,,8.0,40.0,5.0,1.0,16.0,5.0,23.0,,,1.0,2.0,2.0,1.0,0.1146,,,,
15276,Joey Barton,Midfielder,Burnley,90,England,2014-15,188.0,,3.6243,1.0,,83.0,,227.0,28.0,27.0,367.0,1368.0,,,103.0,5.0,,2351.0,49.0,185.0,8.0,66.0,131.0,856.0,,,1.0,46.7026,54.0,13.0,68.0,47.0,139.0,314.0,,39.0,0.0,373.0,37.0,,566.0,220.0,28.0,,,624.0,39.0,270.0,54.0,1.0,,1312.0,522.0,52.0,17.0,,,348.0,46.0,145.0,1936.0,2.0,48.0,414.0,,11.0,140.0,70.0,1.0,9.0,11.0,7.0,2.0,2.0313,24.0,11.0,31.0,10.0,37.0,2.0,2.0,,21.0,1.0,31.0,8.0,86.0,37.0,17.0,23.0,22.0,47.0,140.0,8.0,10.0,31.0,2.0608,,,1.0,,1.0,1.0,1.0,0.0,,,,,3.0,3.0,62.0,4.0,,25.0,4.0,35.0,2.0,,,4.0,4.0,1.0,0.2717,1.0,,,
49277,Leroy Fer,Midfielder,Alanyaspor,3324,Netherlands,2014-15,177.0,,1.8088,0.0,,60.0,,171.0,29.0,27.0,204.0,1013.0,,,126.0,,,2365.0,50.0,245.0,10.0,49.0,169.0,741.0,,,2.0,47.4303,46.0,4.0,26.0,53.0,127.0,321.0,,52.0,3.0,422.0,22.0,,281.0,151.0,29.0,,,506.0,43.0,296.0,76.0,0.0,,997.0,342.0,43.0,59.0,,,202.0,30.0,68.0,1501.0,10.0,9.0,309.0,,4.0,33.0,37.0,2.0,4.0,16.0,14.0,5.0,4.2929,38.0,37.0,7.0,10.0,6.0,3.0,3.0,,54.0,1.0,17.0,20.0,12.0,73.0,24.0,13.0,3.0,32.0,209.0,8.0,10.0,13.0,4.8817,1.0,,6.0,,6.0,6.0,2.0,4.0,,1.0,,1.0,4.0,2.0,4.0,5.0,2.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,3.0,,0.1941,2.0,,,
1212,Shaun Wright-Phillips,Midfielder,Queens Park Rangers,52,England,2014-15,12.0,,0.1263,0.0,,3.0,,2.0,4.0,1.0,5.0,34.0,,,2.0,,,128.0,2.0,6.0,,2.0,6.0,28.0,,,,3.987,1.0,1.0,5.0,4.0,10.0,3.0,,,0.0,18.0,1.0,,12.0,9.0,4.0,,,17.0,4.0,16.0,,0.0,,33.0,16.0,3.0,3.0,,,15.0,3.0,1.0,66.0,1.0,1.0,13.0,,0.0,3.0,1.0,3.0,1.0,,1.0,,0.2268,1.0,1.0,,,1.0,,,,1.0,4.0,,1.0,,5.0,,,1.0,2.0,4.0,1.0,,,0.0276,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
92789,Michael Doughty,Midfielder,Swindon Town,46,England,2014-15,7.0,,0.0102,0.0,,4.0,,6.0,3.0,,8.0,30.0,,,4.0,,,51.0,,13.0,1.0,3.0,9.0,20.0,,,,1.9677,1.0,1.0,3.0,2.0,7.0,8.0,,3.0,0.0,20.0,2.0,,11.0,7.0,3.0,,,14.0,1.0,16.0,4.0,0.0,,29.0,13.0,3.0,2.0,,,9.0,,2.0,51.0,,2.0,8.0,,0.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,2.0,,4.0,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67731,Alejandro Faurlin,Midfielder,Queens Park Rangers,52,Argentina,2014-15,3.0,,0.2093,0.0,,6.0,,8.0,2.0,1.0,12.0,54.0,,,,,,91.0,,8.0,,2.0,8.0,35.0,,,,0.7589,1.0,,,1.0,3.0,12.0,,2.0,0.0,11.0,1.0,,20.0,12.0,2.0,,,22.0,1.0,11.0,,0.0,,54.0,13.0,5.0,,,,17.0,1.0,7.0,70.0,1.0,1.0,21.0,,0.0,4.0,2.0,1.0,,1.0,1.0,,0.0268,2.0,,,1.0,1.0,1.0,1.0,,3.0,,1.0,,,,1.0,,,1.0,5.0,,1.0,,0.1045,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,
28097,Niko Kranjcar,Midfielder,Dynamo Kyiv,194,Croatia,2014-15,106.0,,1.1233,0.0,,31.0,,87.0,22.0,11.0,132.0,586.0,,,23.0,1.0,,1113.0,15.0,71.0,6.0,21.0,63.0,404.0,,,,25.209,19.0,4.0,18.0,28.0,91.0,191.0,,17.0,0.0,177.0,6.0,,187.0,81.0,22.0,,,305.0,22.0,154.0,8.0,0.0,,555.0,232.0,22.0,15.0,,,114.0,18.0,50.0,871.0,5.0,15.0,163.0,,2.0,45.0,26.0,11.0,3.0,16.0,9.0,1.0,2.344,26.0,15.0,7.0,13.0,14.0,1.0,1.0,,21.0,,9.0,16.0,38.0,41.0,17.0,17.0,1.0,22.0,94.0,8.0,13.0,18.0,2.3829,1.0,,3.0,,3.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,36.0,6.0,1.0,11.0,6.0,22.0,1.0,,2.0,7.0,7.0,,0.5694,,1.0,,
10561,Karl Henry,Midfielder,Bradford City,55,England,2014-15,98.0,,0.8154,0.0,,61.0,,120.0,33.0,27.0,198.0,1023.0,,,49.0,5.0,,2504.0,22.0,119.0,7.0,28.0,92.0,743.0,,,2.0,50.0747,11.0,11.0,23.0,51.0,76.0,244.0,,27.0,0.0,217.0,14.0,,358.0,144.0,33.0,,,439.0,44.0,168.0,27.0,0.0,,1007.0,262.0,48.0,5.0,,,263.0,36.0,82.0,1305.0,7.0,33.0,389.0,,8.0,78.0,42.0,6.0,2.0,3.0,1.0,1.0,0.026,7.0,14.0,13.0,3.0,3.0,,,,8.0,1.0,13.0,6.0,15.0,24.0,6.0,1.0,5.0,39.0,158.0,3.0,3.0,17.0,0.3264,,,,,,,,,,,1.0,3.0,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,,
39765,Adel Taarabt,Midfielder,Benfica,251,Morocco,2014-15,27.0,,0.4671,0.0,,2.0,,26.0,7.0,3.0,28.0,191.0,,,2.0,,,295.0,2.0,24.0,,5.0,24.0,157.0,,,,6.436,13.0,,,6.0,25.0,53.0,,11.0,0.0,51.0,2.0,,50.0,17.0,7.0,,,120.0,6.0,49.0,,0.0,,182.0,76.0,1.0,11.0,,,47.0,2.0,6.0,285.0,1.0,,46.0,,0.0,2.0,4.0,4.0,1.0,5.0,1.0,2.0,0.0466,6.0,14.0,3.0,4.0,3.0,,,,4.0,,1.0,9.0,13.0,24.0,5.0,,,2.0,41.0,2.0,4.0,,0.3559,,,1.0,,1.0,,,,,,,1.0,1.0,,6.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,
52876,Sandro,Midfielder,Harborough Town,9026,Brazil,2014-15,86.0,,,0.0,,49.0,,105.0,17.0,17.0,128.0,474.0,,,57.0,2.0,,1219.0,29.0,95.0,2.0,31.0,67.0,326.0,,,1.0,,3.0,9.0,34.0,20.0,57.0,125.0,,10.0,0.0,181.0,22.0,,183.0,83.0,17.0,,,191.0,18.0,124.0,28.0,0.0,,473.0,161.0,38.0,8.0,,,114.0,34.0,20.0,700.0,12.0,14.0,157.0,,6.0,23.0,30.0,,2.0,8.0,4.0,2.0,,9.0,3.0,2.0,,2.0,,,,12.0,,11.0,6.0,2.0,19.0,5.0,4.0,7.0,27.0,52.0,,,14.0,,,,,,,1.0,0.0,1.0,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,
176428,Aaron Mitchell,Midfielder,Queens Park Rangers,52,England,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176426,Brandon Comley,Midfielder,Walsall,42,Montserrat,2014-15,,,0.0026,0.0,,,,1.0,1.0,,1.0,11.0,,,,,,10.0,,,,,,9.0,,,,0.885,,,,1.0,,4.0,,,0.0,,,,3.0,,1.0,,,4.0,1.0,,,0.0,,11.0,2.0,,,,,3.0,,1.0,13.0,,,6.0,,0.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167890,Michael Petrasso,Midfielder,Maidstone United,949,Canada,2014-15,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
