playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,goalAssists,unsuccessfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,handballsConceded,overruns,foulWonPenalty,offsides,cornersTakenInclShortCorners,throughBalls,goals,awayGoals,unsuccessfulLayoffs,ownGoalScored,homeGoals,rightFootGoals,lastPlayerTackle,penaltiesConceded,headedGoals,successfulCornersIntoBox,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,leftFootGoals,penaltiesTaken,penaltyGoals,setPiecesGoals,otherGoals
51940,David de Gea,Goalkeeper,Fiorentina,125,Spain,2011-12,1.0,1.0,0.0,27.0,1.0,55.0,15.0,29.0,29.0,355.0,800.0,264.0,22.0,3.0,13.0,3.0,2610.0,10.0,4.0,7.0,233.0,1.0,21.0,2.0,58.0,26.0,29.0,1.0,98.0,102.0,6.0,0.0,11.0,600.0,277.0,29.0,2.0,4.0,1.0,118.0,25.0,8.0,3.0,0.0,258.0,435.0,360.0,130.0,25.0,102.0,1.0,212.0,1095.0,174.0,327.0,47.0,0.0,340.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39725,Anders Lindegaard,Goalkeeper,Burnley,90,Denmark,2011-12,,,0.0,7.0,,12.0,5.0,8.0,8.0,103.0,224.0,71.0,8.0,1.0,6.0,,720.0,1.0,1.0,,70.0,,4.0,,15.0,6.0,4.0,,24.0,18.0,,0.0,1.0,178.0,99.0,8.0,,1.0,,30.0,3.0,,1.0,0.0,80.0,131.0,104.0,40.0,1.0,22.0,,51.0,304.0,54.0,91.0,6.0,0.0,98.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135,Tomasz Kuszczak,Goalkeeper,Birmingham City,41,Poland,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51922,Ben Amos,Goalkeeper,Port Vale,50,England,2011-12,,,0.0,1.0,,1.0,2.0,1.0,1.0,6.0,25.0,4.0,,,1.0,,90.0,,,,13.0,,1.0,,2.0,1.0,,,3.0,2.0,,0.0,,14.0,4.0,1.0,,,,2.0,,,,0.0,8.0,18.0,6.0,,,8.0,,6.0,33.0,6.0,17.0,1.0,0.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54772,Rafael,Defender,Botafogo,1419,Brazil,2011-12,57.0,,0.0,,49.0,,61.0,12.0,10.0,73.0,616.0,,,24.0,5.0,,916.0,83.0,,71.0,518.0,,,1.0,5.0,36.0,12.0,45.0,42.0,,12.0,0.0,140.0,232.0,60.0,12.0,,,7.0,320.0,12.0,116.0,12.0,0.0,,611.0,153.0,,,259.0,13.0,25.0,950.0,14.0,232.0,,2.0,12.0,15.0,4.0,9.0,3.0,4.0,7.0,4.0,29.0,2.0,9.0,12.0,22.0,11.0,7.0,10.0,29.0,29.0,3.0,6.0,42.0,10.0,2.0,12.0,1.0,83.0,96.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14075,Patrice Evra,Defender,West Ham United,21,France,2011-12,163.0,,0.0,,104.0,,190.0,37.0,37.0,220.0,1610.0,,,87.0,18.0,,3239.0,243.0,5.0,195.0,1340.0,,,2.0,5.0,169.0,32.0,124.0,759.0,,40.0,0.0,406.0,527.0,166.0,37.0,,,24.0,813.0,27.0,319.0,48.0,0.0,1.0,1583.0,430.0,,,119.0,51.0,50.0,2582.0,33.0,592.0,,6.0,30.0,52.0,7.0,15.0,10.0,4.0,11.0,4.0,70.0,,15.0,39.0,77.0,33.0,36.0,24.0,70.0,58.0,7.0,25.0,80.0,51.0,9.0,38.0,,205.0,241.0,4.0,1.0,1.0,5.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,
76359,Phil Jones,Defender,Manchester United,1,England,2011-12,96.0,,0.0,,68.0,,166.0,29.0,25.0,186.0,1152.0,,,71.0,11.0,,2124.0,149.0,5.0,108.0,896.0,,,1.0,8.0,127.0,20.0,66.0,143.0,,24.0,2.0,245.0,401.0,118.0,29.0,,,20.0,472.0,15.0,174.0,41.0,0.0,,1127.0,310.0,,,453.0,49.0,70.0,1741.0,28.0,505.0,,6.0,20.0,51.0,15.0,11.0,5.0,7.0,20.0,2.0,47.0,4.0,11.0,30.0,42.0,19.0,15.0,13.0,47.0,31.0,13.0,11.0,48.0,16.0,12.0,20.0,,155.0,104.0,4.0,2.0,,4.0,,1.0,,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,,,,,,,,,,,
2034,Rio Ferdinand,Defender,Queens Park Rangers,52,England,2011-12,43.0,,0.0,,42.0,,86.0,30.0,29.0,129.0,1293.0,,,40.0,12.0,,2565.0,89.0,5.0,64.0,1010.0,,,1.0,31.0,222.0,26.0,28.0,439.0,,13.0,0.0,132.0,465.0,158.0,30.0,,,8.0,346.0,21.0,92.0,25.0,0.0,,1267.0,147.0,,,320.0,55.0,154.0,1693.0,51.0,819.0,,4.0,43.0,42.0,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,15.0,3.0,,3.0,2.0,1.0,7.0,1.0,2.0,34.0,9.0,21.0,10.0,,69.0,3.0,4.0,,,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,
37642,Jonny Evans,Defender,Manchester United,1,Northern Ireland,2011-12,79.0,,1.0,,36.0,,102.0,29.0,28.0,140.0,1418.0,,,83.0,13.0,,2427.0,109.0,3.0,62.0,1163.0,,,,17.0,225.0,18.0,43.0,374.0,,20.0,2.0,188.0,532.0,136.0,29.0,,,10.0,421.0,15.0,105.0,47.0,1.0,,1389.0,161.0,,,418.0,55.0,115.0,1847.0,44.0,858.0,,6.0,38.0,38.0,6.0,1.0,3.0,5.0,12.0,3.0,1.0,1.0,1.0,36.0,30.0,1.0,8.0,2.0,1.0,8.0,7.0,1.0,26.0,6.0,29.0,27.0,,94.0,3.0,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,,,,,,,,,
55909,Chris Smalling,Defender,Roma,121,England,2011-12,51.0,,0.0,,17.0,,75.0,19.0,14.0,98.0,580.0,,,32.0,6.0,,1293.0,52.0,2.0,29.0,440.0,,,,7.0,95.0,14.0,42.0,66.0,,7.0,0.0,103.0,170.0,62.0,19.0,,,2.0,199.0,12.0,71.0,23.0,0.0,,571.0,153.0,,,263.0,24.0,42.0,905.0,30.0,288.0,,1.0,23.0,22.0,2.0,5.0,4.0,1.0,4.0,,10.0,5.0,5.0,9.0,14.0,15.0,3.0,4.0,10.0,15.0,3.0,7.0,15.0,5.0,12.0,22.0,,81.0,79.0,1.0,,2.0,,,,,1.0,1.0,0.0,,,1.0,,,,1.0,,,,,,,,,
