playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,fiftyFifty,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,substituteOn,putthroughBlockedDistribution,groundDuelsLost,drops,tacklesWon,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,homeGoals,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,handballsConceded,expectedGoals,blockedShots,shotsBlockedInBox,iboxBlocked,successfulCrossesOpenPlay,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,oboxTarget,headedGoals,hitWoodwork,oboxBlocked,successfulCornersIntoBox,ownGoalScored,leftFootGoals,unsuccessfulCornersIntoBox,secondGoalAssists,successfulLayoffs,cornersTakenInclShortCorners,shotsBlockedOutsideBox,foulWonPenalty,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick
51940,David de Gea,Goalkeeper,Fiorentina,125,Spain,2020-21,1.0,0.0083,2.0,0.0,2.0,20.0,4.0,26.0,2.0,26.0,123.0,501.0,172.0,2.0,6.0,9.0,4.0,2295.0,1.0,8.0,3.0,3.0,296.0,6.0,4.0,28.0848,13.0,14.0,32.0,122.0,60.0,3.0,0.0,9.0,263.0,130.0,26.0,28.0,29.0,3.0,5.0,0.0,225.0,285.0,128.0,1.0,35.0,16.0,116.0,82.0,674.0,1.0,63.0,350.0,40.0,0.0,119.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6744,Lee Grant,Goalkeeper,Manchester United,1,England,2020-21,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172649,Dean Henderson,Goalkeeper,Crystal Palace,31,England,2020-21,1.0,0.0042,,0.0,8.0,16.0,6.0,13.0,,12.0,84.0,258.0,94.0,4.0,7.0,4.0,,1125.0,,8.0,,1.0,146.0,4.0,,11.5421,10.0,7.0,12.0,61.0,40.0,,0.0,9.0,141.0,89.0,13.0,14.0,12.0,2.0,7.0,0.0,134.0,141.0,84.0,,26.0,8.0,56.0,28.0,382.0,,40.0,160.0,23.0,3.0,78.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250370,Nathan Bishop,Goalkeeper,AFC Wimbledon,2623,England,2020-21,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184667,Victor Lindelöf,Defender,Aston Villa,7,Sweden,2020-21,73.0,0.6896,59.0,0.0,,,108.0,29.0,36.0,29.0,190.0,1866.0,,,101.0,10.0,,2586.0,37.0,96.0,3.0,32.0,1614.0,,3.0,27.5648,7.0,95.0,30.0,466.0,,8.0,0.0,169.0,655.0,145.0,29.0,540.0,27.0,68.0,64.0,0.0,,1832.0,211.0,2.0,,,678.0,62.0,2114.0,1.0,28.0,1136.0,,0.0,82.0,87.0,22.0,,18.0,36.0,,10.0,1.0,1.0,0.169,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,5.0,5.0,8.0,1.0,1.0,12.0,2.0,1.0,5.0,3.0,1.0,14.0,24.0,31.0,67.0,10.0,8.0,1.0,0.5889,,,,,,,,,,,,,,,,,,,,,,,,,,,
197365,Eric Bailly,Defender,Villarreal,449,Cote d’Ivoire,2020-21,27.0,0.0641,22.0,0.0,,,43.0,12.0,12.0,10.0,66.0,562.0,,,41.0,3.0,,915.0,17.0,37.0,1.0,13.0,476.0,,1.0,13.719,6.0,36.0,17.0,122.0,,4.0,0.0,64.0,197.0,73.0,12.0,155.0,16.0,23.0,24.0,0.0,,552.0,75.0,4.0,,,220.0,20.0,663.0,1.0,16.0,341.0,,3.0,23.0,40.0,5.0,2.0,5.0,10.0,,5.0,,1.0,,1.0,,,,,,,,4.0,,,2.0,,,,,,,1.0,,11.0,10.0,13.0,23.0,1.0,4.0,1.0,0.1048,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Manchester United,1,England,2020-21,106.0,0.6238,86.0,0.0,,,188.0,34.0,43.0,34.0,283.0,2227.0,,,179.0,13.0,,3048.0,44.0,203.0,3.0,68.0,1792.0,,4.0,34.0441,7.0,122.0,36.0,829.0,,31.0,0.0,309.0,795.0,199.0,34.0,700.0,33.0,130.0,135.0,0.0,,2166.0,315.0,8.0,,,526.0,152.0,2626.0,1.0,34.0,1245.0,,11.0,95.0,101.0,29.0,,14.0,62.0,,17.0,10.0,1.0,1.39,27.0,,1.0,2.0,2.0,1.0,1.0,,53.0,,6.0,5.0,1.0,,12.0,6.0,2.0,12.0,17.0,4.0,23.0,40.0,60.0,77.0,13.0,20.0,1.0,2.2796,9.0,9.0,9.0,1.0,1.0,1.0,7.0,7.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
106760,Luke Shaw,Defender,Manchester United,1,England,2020-21,125.0,6.0284,83.0,0.0,,,212.0,32.0,44.0,30.0,241.0,1609.0,,,66.0,10.0,,2655.0,28.0,146.0,1.0,108.0,1339.0,,4.0,31.1642,,39.0,33.0,675.0,,28.0,0.0,271.0,523.0,187.0,32.0,839.0,32.0,205.0,38.0,0.0,,1587.0,488.0,36.0,,,110.0,29.0,2417.0,3.0,8.0,586.0,,8.0,29.0,58.0,44.0,2.0,79.0,97.0,,28.0,6.0,3.0,1.0804,9.0,,5.0,67.0,1.0,3.0,1.0,,66.0,37.0,67.0,25.0,0.0,,16.0,20.0,132.0,41.0,3.0,17.0,9.0,42.0,20.0,301.0,225.0,20.0,1.0,0.5605,2.0,1.0,1.0,20.0,1.0,57.0,4.0,4.0,1.0,,,1.0,31.0,1.0,1.0,60.0,1.0,3.0,97.0,1.0,,,,,,,
152590,Alex Telles,Defender,Botafogo,1419,Brazil,2020-21,36.0,1.1137,17.0,0.0,,,47.0,9.0,7.0,8.0,70.0,458.0,,,31.0,1.0,,691.0,14.0,36.0,2.0,19.0,374.0,,,8.4627,,18.0,11.0,134.0,,4.0,0.0,72.0,185.0,45.0,9.0,220.0,9.0,41.0,17.0,0.0,,448.0,132.0,3.0,,,24.0,14.0,686.0,3.0,6.0,180.0,,0.0,23.0,18.0,14.0,1.0,10.0,22.0,,7.0,1.0,1.0,0.0458,4.0,1.0,2.0,27.0,,1.0,,,3.0,3.0,10.0,5.0,,,7.0,4.0,43.0,9.0,3.0,8.0,2.0,4.0,16.0,115.0,67.0,3.0,,0.1557,1.0,,,2.0,,12.0,1.0,1.0,,,1.0,1.0,8.0,,,16.0,,,28.0,1.0,,,,,,,
214590,Aaron Wan-Bissaka,Defender,West Ham United,21,DR Congo,2020-21,126.0,2.1446,93.0,0.0,,,226.0,34.0,56.0,34.0,272.0,1805.0,,,75.0,13.0,,3060.0,37.0,174.0,2.0,136.0,1506.0,,3.0,34.7108,9.0,61.0,36.0,97.0,,14.0,1.0,300.0,672.0,182.0,34.0,831.0,34.0,225.0,38.0,0.0,,1794.0,425.0,34.0,,,773.0,27.0,2656.0,,32.0,715.0,,3.0,46.0,122.0,88.0,,94.0,89.0,,54.0,4.0,2.0,1.5426,6.0,,4.0,47.0,2.0,1.0,1.0,,36.0,18.0,27.0,48.0,1.0,2.0,34.0,26.0,47.0,47.0,2.0,15.0,17.0,31.0,62.0,263.0,259.0,18.0,2.0,0.9471,1.0,,,13.0,,13.0,2.0,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,
