playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,rightFootGoals,cornersTakenInclShortCorners,leftFootGoals,expectedGoalsFreekick,ownGoalScored,freekickTotal,gkSuccessfulDistribution,attemptsFromSetPieces,hitWoodwork,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesTaken,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,setPiecesGoals,foulWonPenalty
115556,Ben Davies,Defender,Spurs,6,Wales,2021-22,0.0,0.0,6.0,109.0,5.0,0.9309,58.0,6.0,7.0,2.3062,36.0,12.0,1.0,159.0,29.0,1.0,27.0,28.0,237.0,14.0,1582.0,1.0,5.0,0.0,5.0,1.0,119.0,11.0,2.0,5.0,4.0,2539.0,4.0,1.0,52.0,128.0,5.0,1.0,41.0,61.0,1300.0,31.0,5.0,2.0,28.0947,10.0,5.0,73.0,30.0,1.0,57.0,694.0,18.0,0.0,237.0,13.0,1.0,605.0,106.0,29.0,2.0,15.0,4.0,569.0,25.0,1.0,14.0,14.0,1.0,118.0,67.0,1548.0,5.0,10.0,293.0,21.0,7.0,19.0,154.0,31.0,30.0,2.0,45.0,129.0,1936.0,41.0,2.0,5.0,33.0,781.0,24.0,1.0,2.3171,78.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221632,Cristian Romero,Defender,Spurs,6,Argentina,2021-22,0.0,0.0,8.0,79.0,,0.4913,54.0,2.0,2.0,0.5294,62.0,4.0,2.0,104.0,22.0,,29.0,21.0,175.0,,1316.0,1.0,2.0,1.0,1.0,1.0,73.0,5.0,,,1.0,1846.0,1.0,,30.0,129.0,5.0,1.0,39.0,86.0,1083.0,22.0,,1.0,20.3027,6.0,3.0,72.0,25.0,1.0,49.0,193.0,15.0,1.0,208.0,25.0,0.0,483.0,148.0,22.0,,23.0,5.0,325.0,20.0,,,10.0,1.0,135.0,43.0,1281.0,2.0,2.0,200.0,39.0,9.0,21.0,567.0,28.0,33.0,,58.0,73.0,1623.0,8.0,2.0,1.0,20.0,816.0,21.0,1.0,0.4965,71.0,76.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173904,Dávinson Sánchez,Defender,Spurs,6,Colombia,2021-22,0.0,0.0,4.0,65.0,1.0,1.0416,37.0,2.0,3.0,1.4133,41.0,11.0,1.0,78.0,23.0,,22.0,17.0,137.0,1.0,1126.0,2.0,1.0,1.0,1.0,6.0,84.0,10.0,,1.0,1.0,1626.0,1.0,,37.0,101.0,1.0,,16.0,54.0,951.0,23.0,,,17.8174,5.0,8.0,54.0,16.0,1.0,28.0,205.0,11.0,1.0,166.0,8.0,1.0,385.0,103.0,23.0,,19.0,2.0,403.0,15.0,1.0,1.0,4.0,1.0,82.0,47.0,1106.0,8.0,1.0,152.0,22.0,4.0,16.0,491.0,16.0,30.0,,38.0,45.0,1347.0,4.0,,1.0,27.0,587.0,11.0,,2.071,59.0,60.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241157,Emerson Royal,Defender,Spurs,6,Brazil,2021-22,0.0,0.0,5.0,136.0,18.0,3.0044,63.0,4.0,4.0,1.3322,72.0,11.0,1.0,160.0,31.0,1.0,37.0,26.0,201.0,56.0,1136.0,1.0,2.0,0.0,,5.0,75.0,5.0,1.0,18.0,2.0,2289.0,2.0,,42.0,167.0,4.0,,70.0,134.0,917.0,60.0,21.0,1.0,25.1322,27.0,2.0,78.0,26.0,4.0,94.0,50.0,45.0,0.0,303.0,23.0,1.0,311.0,152.0,31.0,1.0,25.0,17.0,488.0,22.0,,56.0,35.0,4.0,228.0,33.0,1120.0,7.0,16.0,343.0,47.0,17.0,2.0,485.0,28.0,22.0,,18.0,290.0,1852.0,217.0,9.0,,26.0,465.0,18.0,,1.451,41.0,90.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93264,Eric Dier,Defender,Spurs,6,England,2021-22,0.0,0.0,1.0,76.0,1.0,1.1441,40.0,3.0,5.0,0.2177,15.0,10.0,5.0,138.0,35.0,,20.0,35.0,276.0,,2325.0,,,0.0,2.0,,124.0,16.0,1.0,1.0,4.0,3072.0,4.0,,54.0,95.0,6.0,,12.0,25.0,1921.0,24.0,,1.0,28.5029,7.0,13.0,141.0,30.0,1.0,22.0,761.0,9.0,0.0,171.0,5.0,0.0,812.0,131.0,35.0,1.0,6.0,1.0,555.0,24.0,,,3.0,1.0,47.0,70.0,2269.0,5.0,3.0,294.0,9.0,1.0,32.0,689.0,12.0,27.0,1.0,128.0,63.0,2630.0,6.0,1.0,2.0,36.0,1495.0,4.0,,1.2085,138.0,105.0,1.0,,,,0.2322,1.0,4.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,
199584,Japhet Tanganga,Defender,Spurs,6,England,2021-22,0.0,1.0,2.0,45.0,2.0,0.4135,20.0,3.0,2.0,0.2712,14.0,4.0,,40.0,11.0,,7.0,10.0,55.0,9.0,346.0,,1.0,0.0,1.0,1.0,24.0,3.0,1.0,2.0,1.0,740.0,1.0,,9.0,42.0,1.0,,10.0,27.0,282.0,10.0,10.0,,9.481,2.0,2.0,30.0,8.0,2.0,36.0,51.0,8.0,0.0,87.0,8.0,0.0,110.0,24.0,11.0,1.0,6.0,2.0,135.0,7.0,,9.0,7.0,2.0,63.0,15.0,341.0,2.0,3.0,88.0,8.0,5.0,5.0,117.0,19.0,9.0,,9.0,68.0,516.0,40.0,5.0,1.0,7.0,158.0,5.0,,0.4397,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
214225,Joe Rodon,Defender,Spurs,6,Wales,2021-22,0.0,0.0,0.0,2.0,,0.0019,2.0,,,,,,,5.0,3.0,,,,6.0,,35.0,,,0.0,,3.0,4.0,,,,,87.0,,,2.0,3.0,,,1.0,1.0,26.0,,,1.0,3.1303,,,7.0,3.0,,,11.0,1.0,0.0,5.0,1.0,0.0,14.0,3.0,3.0,,,,6.0,3.0,,,,,1.0,2.0,35.0,,,6.0,,,1.0,6.0,,,,3.0,4.0,46.0,,,,,23.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215610,Marcel Lavinier,Defender,Spurs,6,England,2021-22,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87835,Matt Doherty,Defender,Spurs,6,Ireland,2021-22,0.0,0.0,0.0,34.0,6.0,1.4197,19.0,5.0,6.0,2.5762,18.0,11.0,4.0,64.0,15.0,4.0,15.0,9.0,74.0,14.0,452.0,2.0,,1.0,,6.0,24.0,2.0,,6.0,4.0,874.0,4.0,,8.0,44.0,3.0,,17.0,28.0,364.0,33.0,7.0,1.0,9.7636,11.0,1.0,19.0,11.0,5.0,26.0,51.0,4.0,2.0,78.0,9.0,1.0,102.0,48.0,15.0,,6.0,4.0,200.0,8.0,1.0,14.0,10.0,5.0,54.0,16.0,449.0,5.0,3.0,124.0,12.0,6.0,2.0,189.0,11.0,13.0,,14.0,110.0,666.0,53.0,3.0,,5.0,184.0,5.0,1.0,2.483,10.0,25.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199249,Sergio Reguilón,Defender,Spurs,6,Spain,2021-22,0.0,0.0,4.0,105.0,23.0,3.7697,46.0,7.0,9.0,3.6819,40.0,14.0,1.0,129.0,25.0,3.0,18.0,22.0,164.0,53.0,771.0,2.0,1.0,0.0,2.0,3.0,53.0,6.0,2.0,25.0,5.0,1922.0,5.0,1.0,22.0,114.0,2.0,,34.0,83.0,585.0,52.0,17.0,1.0,22.4213,26.0,5.0,39.0,25.0,5.0,83.0,318.0,24.0,1.0,219.0,12.0,2.0,231.0,99.0,25.0,2.0,16.0,27.0,377.0,23.0,,59.0,40.0,5.0,166.0,31.0,755.0,5.0,18.0,317.0,24.0,19.0,8.0,33.0,22.0,31.0,,22.0,189.0,1308.0,118.0,9.0,2.0,19.0,255.0,12.0,,3.0429,35.0,74.0,3.0,,10.0,2.0,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,
