playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,crossesNotClaimed,lastPlayerTackle,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,putthroughBlockedDistribution,penaltyGoalsConceded,substituteOff,successfulCrossesOpenPlay,blockedShots,overruns,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,oboxBlocked,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,successfulDribbles,blocks,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,shotsOnTargetIncGoals,expectedGoalsOnTarget,offsides,shotsOnTargetOutsideBox,iboxTarget,shotsOnTargetInBox,oboxTarget,handballsConceded,penaltiesConceded,goals,awayGoals,shotsBlockedInBox,homeGoals,headedGoals,iboxBlocked,leftFootGoals,throughBalls,cornersTakenInclShortCorners,rightFootGoals,unsuccessfulLayoffs,expectedGoalsFreekick,successfulCornersIntoBox,redCards2ndYellow,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,foulWonPenalty,penaltiesTaken,penaltyGoals
15137,Liam Rosenior,Defender,Brighton and Hove Albion U23,8951,England,2014-15,23.0,,0.4497,0.0,,7.0,,13.0,5.0,57.0,292.0,,,11.0,,,577.0,6.0,21.0,3.0,16.0,219.0,,,8.6879,7.0,20.0,9.0,17.0,75.0,,1.0,0.0,44.0,,122.0,28.0,13.0,,,151.0,6.0,9.0,33.0,5.0,0.0,,289.0,96.0,3.0,,,54.0,4.0,16.0,450.0,21.0,87.0,,0.0,28.0,10.0,8.0,11.0,,2.0,3.0,1.0,5.0,3.0,29.0,1.0,1.0,15.0,1.0,3.0,7.0,8.0,2.0,4.0,4.0,4.0,15.0,3.0,2.0,8.0,3.0,11.0,1.0,41.0,49.0,1.0,1.0,2.0,0.1056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122798,Andy Robertson,Defender,Liverpool,14,Scotland,2014-15,74.0,,1.0754,0.0,,51.0,,24.0,17.0,153.0,642.0,,,17.0,1.0,,1526.0,8.0,90.0,9.0,81.0,450.0,,,22.0837,20.0,50.0,27.0,66.0,234.0,,8.0,0.0,164.0,,279.0,109.0,24.0,,,247.0,18.0,27.0,147.0,9.0,0.0,,633.0,291.0,37.0,,,27.0,11.0,39.0,1126.0,45.0,256.0,,7.0,65.0,44.0,7.0,28.0,,7.0,14.0,2.0,3.0,8.0,88.0,2.0,5.0,68.0,2.0,14.0,24.0,16.0,15.0,16.0,14.0,17.0,68.0,5.0,11.0,22.0,6.0,40.0,1.0,102.0,113.0,1.0,2.0,6.0,0.3612,3.0,0.4876,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
34285,Maynor Figueroa,Defender,Hull City,88,Honduras,2014-15,11.0,,0.0473,0.0,,12.0,,3.0,2.0,27.0,95.0,,,12.0,,,213.0,5.0,22.0,,15.0,63.0,,,3.5898,3.0,12.0,5.0,6.0,37.0,,1.0,0.0,33.0,,43.0,13.0,3.0,,,32.0,5.0,2.0,21.0,7.0,0.0,,94.0,41.0,7.0,,,2.0,2.0,5.0,155.0,14.0,37.0,,0.0,17.0,10.0,1.0,9.0,,1.0,1.0,,,2.0,10.0,,,2.0,,1.0,,8.0,2.0,3.0,5.0,,2.0,2.0,,2.0,2.0,1.0,,13.0,9.0,,,1.0,0.0483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19687,Alex Bruce,Defender,Wigan Athletic,111,Northern Ireland,2014-15,49.0,,0.3382,0.0,,23.0,,22.0,17.0,95.0,389.0,,,85.0,4.0,,1448.0,28.0,83.0,3.0,26.0,264.0,,,15.83,12.0,147.0,17.0,21.0,80.0,,4.0,0.0,132.0,,189.0,61.0,22.0,,,78.0,14.0,1.0,47.0,57.0,0.0,,378.0,104.0,18.0,,,91.0,13.0,30.0,644.0,34.0,216.0,,3.0,47.0,23.0,5.0,14.0,1.0,5.0,,,,1.0,48.0,1.0,,2.0,,,7.0,,,11.0,5.0,,2.0,1.0,,,22.0,25.0,1.0,29.0,,,,7.0,0.0407,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Manchester United,1,England,2014-15,11.0,,0.0243,0.0,,5.0,,3.0,,20.0,46.0,,,14.0,,,92.0,5.0,17.0,,8.0,21.0,,,2.6308,1.0,11.0,3.0,6.0,13.0,,,0.0,28.0,,22.0,11.0,3.0,,,13.0,3.0,,14.0,9.0,0.0,,45.0,22.0,5.0,,,9.0,4.0,5.0,81.0,6.0,13.0,,1.0,9.0,1.0,3.0,1.0,,,,,,,11.0,,,1.0,,,2.0,,,1.0,,,1.0,,,3.0,2.0,9.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43252,James Chester,Defender,Salford City,3448,Wales,2014-15,86.0,,0.6331,1.0,,55.0,,23.0,23.0,136.0,755.0,,,81.0,7.0,,1872.0,36.0,119.0,4.0,74.0,576.0,,,25.9574,7.0,101.0,20.0,50.0,96.0,,14.0,2.0,205.0,,320.0,118.0,23.0,,,258.0,16.0,7.0,124.0,45.0,1.0,,740.0,166.0,39.0,,,268.0,25.0,43.0,1090.0,20.0,361.0,,5.0,48.0,36.0,,33.0,1.0,4.0,,1.0,,8.0,88.0,,1.0,4.0,,,24.0,9.0,5.0,16.0,16.0,2.0,4.0,4.0,3.0,7.0,14.0,53.0,,71.0,23.0,,,12.0,0.8438,4.0,1.0093,,,2.0,2.0,,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,
19115,Curtis Davies,Defender,Cheltenham Town,87,Sierra Leone,2014-15,68.0,,0.2226,0.0,,35.0,,21.0,21.0,80.0,562.0,,,133.0,4.0,,1798.0,39.0,144.0,10.0,50.0,460.0,,,25.075,7.0,209.0,31.0,29.0,168.0,,10.0,0.0,212.0,,208.0,70.0,21.0,,1.0,97.0,21.0,2.0,79.0,94.0,0.0,,552.0,91.0,31.0,,,131.0,14.0,22.0,958.0,27.0,385.0,,2.0,39.0,20.0,,17.0,,3.0,,3.0,1.0,9.0,41.0,,,,,,19.0,,2.0,13.0,4.0,,,7.0,3.0,5.0,18.0,67.0,,55.0,1.0,,,8.0,1.1331,2.0,,,,2.0,2.0,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,
17506,Paul McShane,Defender,Manchester United U21,15988,Ireland,2014-15,68.0,,0.1607,0.0,,30.0,,20.0,19.0,142.0,624.0,1.0,,106.0,5.0,,1696.0,42.0,108.0,4.0,44.0,451.0,,,21.157,6.0,126.0,22.0,26.0,148.0,,13.0,0.0,176.0,,306.0,75.0,20.0,,,171.0,18.0,6.0,70.0,64.0,0.0,,610.0,171.0,25.0,1.0,,125.0,13.0,31.0,910.0,29.0,311.0,,2.0,57.0,46.0,1.0,14.0,1.0,2.0,,1.0,1.0,10.0,85.0,,4.0,7.0,,,23.0,4.0,2.0,7.0,5.0,1.0,7.0,6.0,1.0,1.0,9.0,28.0,,45.0,17.0,,,8.0,1.0374,4.0,0.9061,2.0,,3.0,3.0,,,,1.0,1.0,1.0,0.0,,1.0,1.0,,,,,,,,,,,,,,
12679,Michael Dawson,Defender,Nottingham Forest,17,England,2014-15,98.0,,0.4469,0.0,,40.0,,28.0,28.0,224.0,922.0,,,179.0,7.0,,2434.0,58.0,168.0,11.0,47.0,566.0,,,34.9799,29.0,219.0,42.0,40.0,143.0,,9.0,1.0,266.0,,448.0,87.0,28.0,,,214.0,31.0,7.0,87.0,121.0,0.0,,889.0,241.0,25.0,,,296.0,21.0,132.0,1345.0,86.0,485.0,,7.0,131.0,54.0,,21.0,1.0,2.0,1.0,5.0,,10.0,93.0,,1.0,,2.0,1.0,36.0,,6.0,15.0,15.0,1.0,,7.0,4.0,1.0,35.0,46.0,3.0,35.0,2.0,,2.0,12.0,0.8494,3.0,0.6267,1.0,,2.0,2.0,,,,1.0,0.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
37339,Ahmed El Mohamady,Defender,Aston Villa,7,Egypt,2014-15,230.0,,3.2102,0.0,,68.0,,38.0,38.0,416.0,1585.0,,,244.0,9.0,,3419.0,121.0,273.0,13.0,150.0,1097.0,,,45.8658,26.0,101.0,51.0,109.0,81.0,,50.0,1.0,503.0,,558.0,235.0,38.0,,,720.0,38.0,57.0,259.0,123.0,0.0,,1576.0,744.0,56.0,,,656.0,38.0,72.0,2636.0,101.0,502.0,,4.0,141.0,94.0,,68.0,1.0,1.0,53.0,3.0,17.0,13.0,275.0,5.0,15.0,171.0,,53.0,43.0,50.0,58.0,32.0,12.0,21.0,172.0,9.0,27.0,32.0,4.0,65.0,1.0,290.0,273.0,2.0,,17.0,1.7868,4.0,0.7989,2.0,,2.0,2.0,,3.0,,2.0,0.0,3.0,2.0,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,,,
