playerId,playerName,position,team,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,savesMade,totalFoulsWon,winningGoal,duels,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,throughBalls,successfulLayoffs,foulWonPenalty,unsuccessfulCrossesOpenPlay,goals,awayGoals,successfulCrossesAndCorners,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,rightFootGoals,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,throwInsToOwnPlayer,substituteOff,offsides,cornersTakenInclShortCorners,leftFootGoals,headedGoals,handballsConceded,clearancesOffTheLine,hitWoodwork,redCards2ndYellow,unsuccessfulLayoffs,attemptsFromSetPieces,unsuccessfulCornersIntoBox,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,setPiecesGoals
11334,Petr Cech,Goalkeeper,Chelsea PL2,Czech Republic,2009-10,1.0,1.0,1.0,74.0,25.0,7.0,34.0,1.0,34.0,381.0,860.0,240.0,18.0,5.0,17.0,3.0,3021.0,10.0,1.0,1.0,5.0,225.0,1.0,27.0,2.0,1.0,5.0,111.0,38.0,24.0,1.0,64.0,2.0,0.0,11.0,401.0,34.0,5.0,9.0,203.0,23.0,6.0,5.0,1.0,311.0,456.0,394.0,3.0,126.0,25.0,1.0,2.0,254.0,1253.0,178.0,276.0,38.0,0.0,374.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17694,Ross Turnbull,Goalkeeper,Leeds United,England,2009-10,,,0.0,4.0,1.0,1.0,2.0,,2.0,26.0,43.0,11.0,1.0,,,,180.0,,1.0,,,5.0,,1.0,,,,5.0,1.0,2.0,,3.0,,0.0,,28.0,2.0,,1.0,11.0,1.0,,,0.0,17.0,18.0,26.0,,7.0,2.0,,,12.0,64.0,10.0,6.0,2.0,0.0,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49404,Rhys Taylor,Goalkeeper,Macclesfield Town,Wales,2009-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37634,Henrique Hilário,Goalkeeper,Chelsea,Portugal,2009-10,,,0.0,4.0,4.0,,3.0,,2.0,17.0,52.0,23.0,2.0,1.0,1.0,2.0,218.0,2.0,,,1.0,20.0,,2.0,2.0,,,4.0,2.0,6.0,,5.0,1.0,0.0,2.0,18.0,3.0,,,14.0,6.0,1.0,1.0,0.0,27.0,21.0,17.0,,7.0,1.0,,,15.0,75.0,8.0,21.0,1.0,0.0,17.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77770,Jan Sebek,Goalkeeper,Chelsea,Czech Republic,2009-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41135,Branislav Ivanovic,Defender,West Bromwich Albion,Serbia,2009-10,130.0,,0.0,,,144.0,28.0,5.0,25.0,184.0,1002.0,,,99.0,11.0,,2255.0,185.0,2.0,,125.0,765.0,,,2.0,,25.0,8.0,137.0,20.0,91.0,,33.0,0.0,315.0,115.0,28.0,,,442.0,18.0,216.0,60.0,0.0,,983.0,388.0,16.0,,,42.0,53.0,53.0,1698.0,32.0,395.0,,6.0,40.0,57.0,3.0,19.0,4.0,10.0,76.0,20.0,2.0,2.0,1.0,61.0,1.0,1.0,19.0,39.0,57.0,29.0,0.0,1.0,21.0,3.0,14.0,61.0,29.0,10.0,10.0,55.0,7.0,166.0,3.0,,,,,,,,,,,,,,,
3785,Ashley Cole,Defender,Derby County,England,2009-10,101.0,,0.0,,,109.0,27.0,3.0,25.0,123.0,1037.0,,,44.0,12.0,,2155.0,142.0,1.0,1.0,129.0,870.0,,,2.0,,26.0,5.0,77.0,16.0,70.0,,40.0,4.0,243.0,129.0,27.0,,,519.0,15.0,199.0,13.0,0.0,,1006.0,257.0,24.0,,,16.0,61.0,44.0,1702.0,18.0,406.0,,4.0,14.0,34.0,2.0,11.0,6.0,8.0,65.0,11.0,5.0,5.0,1.0,39.0,4.0,0.0,11.0,31.0,51.0,14.0,4.0,,18.0,1.0,14.0,39.0,44.0,3.0,14.0,47.0,6.0,209.0,4.0,7.0,1.0,3.0,1.0,3.0,,,,,,,,,,
10917,Ricardo Carvalho,Defender,Monaco,Portugal,2009-10,67.0,,0.0,,,109.0,22.0,1.0,22.0,147.0,1069.0,,,55.0,9.0,,1853.0,73.0,1.0,1.0,45.0,851.0,,,2.0,,10.0,9.0,127.0,20.0,40.0,,4.0,0.0,140.0,118.0,22.0,,,369.0,19.0,85.0,28.0,0.0,,1050.0,232.0,5.0,,,21.0,59.0,71.0,1391.0,39.0,558.0,,4.0,38.0,48.0,,5.0,3.0,2.0,36.0,10.0,1.0,1.0,,19.0,,,5.0,27.0,26.0,,,,13.0,2.0,5.0,19.0,8.0,8.0,3.0,23.0,18.0,1.0,5.0,,,,,1.0,1.0,1.0,,,,,,,,
11278,José Bosingwa,Defender,Trabzonspor,Portugal,2009-10,34.0,,0.0,,,36.0,8.0,1.0,8.0,43.0,320.0,,,17.0,1.0,,649.0,51.0,,,38.0,259.0,,,1.0,,12.0,2.0,21.0,7.0,30.0,,10.0,0.0,85.0,47.0,8.0,,,164.0,7.0,68.0,13.0,0.0,,311.0,119.0,10.0,,,14.0,15.0,18.0,542.0,8.0,117.0,,0.0,7.0,19.0,,4.0,4.0,2.0,18.0,4.0,4.0,1.0,,40.0,,,4.0,4.0,13.0,7.0,,,7.0,,6.0,40.0,15.0,2.0,11.0,11.0,1.0,51.0,4.0,2.0,,,,1.0,,1.0,,,,,,,,
16734,Paulo Ferreira,Defender,Chelsea,Portugal,2009-10,33.0,,0.0,,,37.0,13.0,,11.0,49.0,449.0,,,10.0,4.0,,950.0,44.0,1.0,,40.0,379.0,,,1.0,,14.0,3.0,33.0,7.0,27.0,,11.0,0.0,77.0,40.0,13.0,,,210.0,6.0,67.0,4.0,0.0,,439.0,117.0,3.0,,,8.0,12.0,21.0,711.0,17.0,195.0,,2.0,12.0,17.0,2.0,5.0,,1.0,26.0,2.0,1.0,2.0,,30.0,,,5.0,6.0,7.0,11.0,,,6.0,,5.0,30.0,12.0,1.0,5.0,20.0,2.0,91.0,3.0,,,,,,,,,,,,,,,
