playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,fiftyFifty,successfulFiftyFifty,savesFromPenalty,drops,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,goals,offsides,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,groundDuelsLost,putthroughBlockedDistributionWon,tacklesLost,unsuccessfulDribbles,headedGoals,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,foulAttemptedTackle,handballsConceded,expectedGoals,successfulCrossesOpenPlay,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,unsuccessfulCrossesAndCorners,expectedGoalsFreekick,oboxBlocked,shotsOnTargetOutsideBox,penaltiesTaken,oboxTarget,rightFootGoals,freekickTotal,attemptsFromSetPieces,penaltyGoals,shotsBlockedOutsideBox,successfulLayoffs,clearancesOffTheLine,hitWoodwork,goalAssists,unsuccessfulLayoffs,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,throughBalls,successfulCornersIntoBox,foulWonPenalty,redCards2ndYellow,setPiecesGoals,leftFootGoals
223175,Matty Longstaff,Midfielder,Newcastle United,4,England,2020-21,0.0653,0.0,,,17.0,5.0,4.0,24.0,139.0,0.0,,9.0,1.0,,377.0,15.0,1.0,8.0,10.0,112.0,,,8.1647,,2.0,8.0,35.0,,5.0,0.0,29.0,0.0,,39.0,24.0,5.0,44.0,7.0,20.0,5.0,0.0,,138.0,31.0,,,33.0,3.0,181.0,4.0,73.0,,0.0,7.0,8.0,,11.0,6.0,,,14.0,,,,3.0,,,,1.0,,,4.0,,1.0,1.0,,2.0,,10.0,7.0,1.0,,,1.0,,,,2.0,2.0,,3.0,7.0,32.0,,1.0,2.0,,,2.0,1.0,2.0,2.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,
50232,Jonjo Shelvey,Midfielder,Burnley,90,England,2020-21,2.3428,0.0,,,181.0,30.0,29.0,331.0,1401.0,0.0,,51.0,6.0,,2617.0,96.0,5.0,33.0,68.0,897.0,,3.0,38.9812,12.0,40.0,46.0,389.0,,10.0,0.0,187.0,1.0,,486.0,181.0,30.0,529.0,41.0,136.0,28.0,0.0,,1313.0,437.0,,,340.0,173.0,1785.0,41.0,563.0,,7.0,150.0,76.0,,98.0,52.0,,,91.0,14.0,9.0,1.5249,39.0,28.0,1.0,,1.0,4.0,4.0,23.0,,25.0,,,34.0,1.0,68.0,12.0,25.0,6.0,,11.0,1.0,19.0,9.0,14.0,20.0,14.0,31.0,36.0,186.0,,1.0,21.0,,2.5749,5.0,27.0,22.0,72.0,0.7297,13.0,4.0,,4.0,1.0,11.0,11.0,,13.0,6.0,1.0,1.0,3.0,,48.0,29.0,1.0,12.0,,,,
56983,Matt Ritchie,Midfielder,Reading,108,Scotland,2020-21,2.1066,0.0,,,63.0,18.0,15.0,105.0,437.0,0.0,,30.0,2.0,,1352.0,49.0,1.0,30.0,37.0,306.0,,1.0,21.8313,5.0,41.0,22.0,126.0,,19.0,0.0,104.0,0.0,,182.0,63.0,18.0,194.0,21.0,74.0,12.0,0.0,,416.0,224.0,,,25.0,26.0,786.0,18.0,171.0,,2.0,42.0,32.0,,37.0,22.0,,,55.0,6.0,1.0,0.0243,10.0,5.0,,1.0,3.0,,,18.0,,10.0,19.0,1.0,23.0,2.0,37.0,15.0,7.0,7.0,,12.0,2.0,4.0,6.0,3.0,8.0,2.0,12.0,12.0,104.0,46.0,4.0,7.0,,0.3975,14.0,40.0,33.0,72.0,0.1276,4.0,1.0,,1.0,,2.0,2.0,,4.0,2.0,,,2.0,,38.0,24.0,,14.0,1.0,,,
153127,Isaac Hayden,Midfielder,Newcastle United,4,Jamaica,2020-21,0.2362,0.0,,,113.0,24.0,22.0,152.0,788.0,0.0,,92.0,4.0,,1944.0,132.0,3.0,57.0,75.0,607.0,,3.0,30.8009,2.0,45.0,33.0,206.0,,17.0,0.0,238.0,0.0,,258.0,116.0,24.0,249.0,30.0,146.0,57.0,0.0,,742.0,216.0,,,199.0,29.0,1133.0,22.0,389.0,,8.0,39.0,46.0,,77.0,38.0,,,106.0,7.0,2.0,0.0438,52.0,9.0,,1.0,2.0,1.0,1.0,35.0,,17.0,6.0,,7.0,4.0,71.0,23.0,23.0,3.0,,17.0,4.0,7.0,6.0,29.0,7.0,9.0,38.0,43.0,125.0,19.0,3.0,30.0,4.0,0.6851,2.0,17.0,2.0,17.0,,3.0,1.0,,1.0,,,,,3.0,3.0,,1.0,,,,,1.0,,,,,
83314,Jeff Hendrick,Midfielder,Derby County,24,Ireland,2020-21,0.6035,1.0,,,80.0,22.0,17.0,107.0,538.0,2.0,,40.0,3.0,,1424.0,40.0,5.0,21.0,27.0,403.0,,2.0,22.602,7.0,13.0,24.0,109.0,,12.0,0.0,115.0,0.0,,156.0,68.0,22.0,192.0,19.0,75.0,13.0,0.0,,527.0,146.0,,,158.0,28.0,689.0,18.0,241.0,,1.0,27.0,33.0,,41.0,16.0,,,75.0,2.0,2.0,1.3479,8.0,8.0,2.0,3.0,5.0,,,27.0,,12.0,,,5.0,,48.0,5.0,5.0,6.0,,21.0,,6.0,4.0,3.0,9.0,9.0,15.0,19.0,115.0,,6.0,11.0,,1.1173,2.0,3.0,2.0,4.0,,2.0,,,,2.0,,,,2.0,3.0,,,1.0,,,,,,,1.0,,
90105,Ryan Fraser,Midfielder,Southampton,20,Scotland,2020-21,1.6554,1.0,,,48.0,18.0,9.0,54.0,262.0,0.0,,27.0,,,925.0,32.0,3.0,17.0,27.0,205.0,,1.0,13.2811,,5.0,17.0,62.0,,20.0,0.0,67.0,0.0,,57.0,30.0,18.0,168.0,14.0,40.0,5.0,0.0,,253.0,152.0,,,50.0,3.0,458.0,2.0,65.0,,0.0,6.0,13.0,,25.0,14.0,,,35.0,4.0,6.0,1.2372,4.0,9.0,,,9.0,3.0,3.0,22.0,,23.0,,,24.0,2.0,13.0,1.0,3.0,1.0,,6.0,2.0,3.0,14.0,1.0,3.0,,5.0,6.0,93.0,7.0,6.0,4.0,1.0,0.9209,13.0,42.0,25.0,78.0,,2.0,3.0,,3.0,,,,,2.0,6.0,,1.0,2.0,2.0,45.0,30.0,,10.0,1.0,1.0,,
114243,Jacob Murphy,Midfielder,Newcastle United,4,England,2020-21,2.5651,0.0,,,90.0,26.0,17.0,135.0,458.0,2.0,,27.0,2.0,,1621.0,106.0,3.0,48.0,100.0,301.0,,1.0,29.6182,4.0,24.0,33.0,24.0,,23.0,0.0,221.0,0.0,,219.0,99.0,26.0,181.0,30.0,194.0,6.0,0.0,,447.0,291.0,,,132.0,22.0,946.0,13.0,157.0,,3.0,45.0,44.0,,44.0,22.0,,,115.0,11.0,9.0,1.9207,39.0,19.0,2.0,2.0,9.0,3.0,3.0,21.0,,27.0,22.0,,16.0,5.0,94.0,24.0,15.0,24.0,,49.0,5.0,10.0,12.0,24.0,39.0,3.0,23.0,14.0,83.0,82.0,4.0,14.0,2.0,1.6373,14.0,42.0,15.0,44.0,0.4281,6.0,4.0,,4.0,2.0,6.0,6.0,,6.0,4.0,,1.0,3.0,2.0,1.0,,,,,,1.0,
179018,Miguel Almirón,Midfielder,Newcastle United,4,Paraguay,2020-21,2.1755,0.0,,,122.0,34.0,28.0,153.0,850.0,0.0,,25.0,2.0,,2436.0,135.0,6.0,52.0,127.0,664.0,,2.0,36.7541,3.0,18.0,48.0,187.0,,39.0,1.0,279.0,4.0,,224.0,163.0,34.0,459.0,42.0,254.0,8.0,0.0,,828.0,308.0,,,219.0,33.0,1289.0,17.0,246.0,,3.0,31.0,52.0,,83.0,35.0,,,144.0,11.0,15.0,4.0366,49.0,22.0,4.0,6.0,6.0,5.0,5.0,17.0,,42.0,,,30.0,7.0,127.0,19.0,20.0,34.0,,68.0,7.0,7.0,19.0,29.0,39.0,4.0,18.0,25.0,220.0,3.0,16.0,10.0,1.0,3.2188,8.0,30.0,8.0,31.0,0.0797,4.0,6.0,,6.0,,1.0,1.0,,4.0,14.0,2.0,2.0,1.0,3.0,5.0,,3.0,,,,,4.0
200089,Joe Willock,Midfielder,Newcastle United,4,England,2020-21,0.641,0.0,,,61.0,21.0,13.0,71.0,314.0,3.0,,41.0,2.0,,1215.0,97.0,3.0,31.0,78.0,233.0,,1.0,11.0045,1.0,10.0,18.0,59.0,,20.0,3.0,212.0,5.0,,103.0,71.0,21.0,157.0,15.0,171.0,19.0,0.0,,314.0,167.0,,,91.0,10.0,616.0,5.0,89.0,,1.0,10.0,24.0,,52.0,27.0,,,115.0,3.0,13.0,6.6213,32.0,20.0,8.0,,8.0,4.0,4.0,22.0,1.0,56.0,,,10.0,1.0,93.0,23.0,16.0,23.0,2.0,42.0,1.0,7.0,9.0,16.0,26.0,4.0,15.0,20.0,61.0,1.0,5.0,4.0,1.0,4.2502,3.0,16.0,3.0,16.0,,1.0,1.0,1.0,1.0,3.0,,,,1.0,2.0,,,,,,,,,1.0,,,3.0
180135,Sean Longstaff,Midfielder,Leeds United,2,England,2020-21,0.8732,0.0,,,66.0,22.0,15.0,103.0,558.0,0.0,,30.0,2.0,,1406.0,67.0,3.0,32.0,56.0,405.0,,2.0,21.7694,4.0,13.0,26.0,130.0,,21.0,0.0,142.0,0.0,,156.0,67.0,22.0,254.0,23.0,112.0,11.0,0.0,,531.0,153.0,,,149.0,50.0,786.0,14.0,207.0,,2.0,37.0,30.0,,44.0,23.0,,,75.0,5.0,5.0,0.7954,31.0,10.0,,,7.0,3.0,3.0,19.0,,17.0,,,11.0,1.0,56.0,21.0,17.0,5.0,,11.0,1.0,5.0,4.0,14.0,4.0,5.0,22.0,19.0,123.0,6.0,1.0,12.0,1.0,1.3501,,6.0,6.0,19.0,0.0504,4.0,2.0,,2.0,,1.0,1.0,,4.0,6.0,,1.0,1.0,,22.0,13.0,,7.0,,,,
