playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,substituteOn,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,tacklesWon,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,ownGoalScored,substituteOff,blockedShots,totalShots,unsuccessfulCrossesOpenPlay,aerialDuelsLost,totalTouchesInOppositionBox,throwInsToOppositionPlayer,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,cornersWon,backwardPasses,throwInsToOwnPlayer,successfulCrossesOpenPlay,shotsOnTargetIncGoals,overruns,throughBalls,goals,awayGoals,successfulCrossesAndCorners,penaltiesConceded,keyPassesAttemptAssists,homeGoals,rightFootGoals,tacklesLost,leftFootGoals,headedGoals,successfulDribbles,blocks,attemptsFromSetPieces,hitWoodwork,handballsConceded,goalAssists,successfulLayoffs,offsides,clearancesOffTheLine,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,unsuccessfulLayoffs,foulWonPenalty,penaltiesTaken,penaltyGoals
32318,Marc Wilson,Midfielder,Bolton Wanderers,30,Ireland,2011-12,134.0,0.0,,80.0,,171.0,35.0,35.0,329.0,959.0,,,,64.0,8.0,,2907.0,147.0,10.0,105.0,495.0,,6.0,102.0,246.0,39.0,112.0,268.0,,11.0,0.0,281.0,,560.0,117.0,35.0,,,,18.0,393.0,29.0,49.0,217.0,42.0,0.0,,934.0,511.0,59.0,,,48.0,34.0,40.0,135.0,1792.0,174.0,252.0,,8.0,158.0,46.0,,5.0,6.0,18.0,48.0,22.0,10.0,58.0,49.0,14.0,11.0,83.0,183.0,14.0,4.0,5.0,1.0,,,15.0,,6.0,,,21.0,,,14.0,7.0,5.0,1.0,,1.0,2.0,,,,,,,,,
12150,Glenn Whelan,Midfielder,Bristol Rovers,96,Ireland,2011-12,120.0,0.0,,56.0,,194.0,30.0,27.0,252.0,1222.0,,,3.0,21.0,7.0,,2486.0,102.0,10.0,93.0,822.0,,4.0,29.0,75.0,34.0,108.0,303.0,,31.0,2.0,222.0,,468.0,167.0,30.0,,,,6.0,577.0,24.0,38.0,201.0,9.0,0.0,,1178.0,363.0,27.0,,,277.0,38.0,46.0,148.0,1663.0,57.0,407.0,,4.0,58.0,44.0,,3.0,6.0,16.0,12.0,12.0,9.0,,40.0,13.0,7.0,174.0,5.0,3.0,3.0,,5.0,1.0,0.0,14.0,1.0,28.0,1.0,1.0,29.0,,,6.0,20.0,2.0,1.0,,1.0,43.0,1.0,1.0,32.0,9.0,21.0,,,,
3658,Jermaine Pennant,Midfielder,Billericay Town,1185,England,2011-12,108.0,0.0,,27.0,,109.0,27.0,18.0,130.0,482.0,,,9.0,18.0,2.0,,1704.0,105.0,5.0,98.0,324.0,,5.0,6.0,13.0,21.0,97.0,44.0,,46.0,0.0,213.0,,149.0,112.0,27.0,,,,18.0,308.0,16.0,67.0,195.0,7.0,0.0,,463.0,393.0,23.0,,,171.0,11.0,30.0,28.0,1001.0,20.0,113.0,,2.0,21.0,30.0,,12.0,5.0,5.0,96.0,11.0,32.0,,159.0,5.0,23.0,118.0,6.0,36.0,,4.0,4.0,,,69.0,1.0,37.0,,,4.0,,,25.0,,3.0,,,6.0,14.0,5.0,,60.0,20.0,36.0,3.0,,,
18074,Tom Soares,Midfielder,Stevenage,288,England,2011-12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34296,Wilson Palacios,Midfielder,Stoke City,110,Honduras,2011-12,44.0,0.0,,26.0,,46.0,18.0,9.0,52.0,315.0,,,9.0,6.0,,,800.0,49.0,2.0,44.0,237.0,,3.0,1.0,10.0,14.0,43.0,101.0,,13.0,0.0,93.0,,91.0,46.0,18.0,,,,3.0,149.0,12.0,13.0,87.0,5.0,0.0,,313.0,73.0,17.0,,,87.0,18.0,12.0,26.0,420.0,2.0,115.0,,3.0,6.0,18.0,,5.0,2.0,2.0,1.0,1.0,6.0,,1.0,2.0,3.0,36.0,2.0,,,,,,,1.0,,4.0,,,9.0,,,5.0,3.0,,,,,11.0,,,,,,,,,
6769,Salif Diao,Midfielder,Stoke City,110,Senegal,2011-12,4.0,0.0,,5.0,,4.0,6.0,2.0,6.0,46.0,,,4.0,3.0,,,122.0,8.0,,6.0,38.0,,,,2.0,2.0,3.0,8.0,,1.0,0.0,12.0,,9.0,7.0,6.0,,,,,11.0,2.0,2.0,9.0,2.0,0.0,,46.0,8.0,4.0,,,14.0,1.0,4.0,2.0,60.0,,29.0,,1.0,2.0,,,2.0,,,,1.0,,,,,,15.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,
5589,Dean Whitehead,Midfielder,Huddersfield Town,38,England,2011-12,98.0,0.0,,55.0,,169.0,33.0,24.0,194.0,969.0,,,9.0,38.0,6.0,,2363.0,112.0,10.0,92.0,696.0,,5.0,6.0,61.0,37.0,80.0,243.0,,35.0,0.0,210.0,,329.0,142.0,33.0,,,,3.0,406.0,27.0,24.0,172.0,20.0,0.0,,958.0,273.0,41.0,,,239.0,33.0,45.0,79.0,1322.0,25.0,372.0,,5.0,25.0,46.0,,2.0,2.0,7.0,9.0,18.0,8.0,2.0,14.0,6.0,5.0,158.0,4.0,1.0,1.0,1.0,2.0,,,3.0,,13.0,,,14.0,,,2.0,18.0,,,1.0,2.0,28.0,,,2.0,1.0,1.0,1.0,,,
1679,Rory Delap,Midfielder,Stoke City,110,Ireland,2011-12,89.0,0.0,,36.0,,100.0,26.0,18.0,127.0,411.0,,,8.0,28.0,2.0,,1526.0,65.0,7.0,50.0,262.0,,3.0,7.0,44.0,27.0,76.0,88.0,,7.0,0.0,154.0,,179.0,60.0,26.0,,,,7.0,174.0,20.0,26.0,126.0,15.0,0.0,,410.0,296.0,25.0,,,81.0,29.0,34.0,22.0,813.0,26.0,113.0,,4.0,27.0,19.0,,9.0,2.0,11.0,11.0,13.0,9.0,111.0,11.0,8.0,13.0,63.0,66.0,3.0,3.0,1.0,,2.0,0.0,3.0,,15.0,2.0,,11.0,,2.0,7.0,4.0,,1.0,,,20.0,,,,,,,,,
2570,Matthew Etherington,Midfielder,Stoke City,110,England,2011-12,121.0,0.0,,25.0,,114.0,30.0,30.0,135.0,561.0,,,,10.0,2.0,,2381.0,57.0,10.0,56.0,403.0,,2.0,3.0,15.0,32.0,112.0,140.0,,11.0,4.0,178.0,,170.0,108.0,30.0,,,,50.0,295.0,22.0,97.0,168.0,1.0,0.0,,556.0,473.0,19.0,,,76.0,3.0,20.0,23.0,1107.0,6.0,191.0,,1.0,21.0,23.0,,20.0,3.0,20.0,114.0,9.0,38.0,2.0,172.0,7.0,27.0,175.0,6.0,24.0,13.0,26.0,5.0,3.0,0.0,60.0,,43.0,3.0,1.0,6.0,2.0,,20.0,1.0,1.0,,,7.0,43.0,,,70.0,30.0,37.0,,,,
57310,Diego Arismendi,Midfielder,Stoke City,110,Uruguay,2011-12,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
