playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,penaltiesFaced,timePlayed,duelsWon,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,penaltiesSaved,fiftyFifty,totalTackles,successfulFiftyFifty,savesMadeCaught,cleanSheets,goalsConcededOutsideBox,penaltiesConceded,savesFromPenalty,keyPassesAttemptAssists,goalkeeperSmother,tacklesLost,lastPlayerTackle,cornersWon,totalFoulsConceded,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,throughBalls,goals,offsides,awayGoals,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,shotsBlockedInBox,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,tacklesWon,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,hitWoodwork,handballsConceded,successfulCrossesOpenPlay,overruns,totalShots,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,putthroughBlockedDistribution,totalTouchesInOppositionBox,throwInsToOppositionPlayer,putthroughBlockedDistributionWon,homeGoals,oboxTarget,iboxBlocked,successfulDribbles,blocks,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,goalAssists,headedGoals,ownGoalScored,leftFootGoals,successfulLayoffs,secondGoalAssists,foulWonPenalty,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,expectedGoalsFreekick,unsuccessfulLayoffs,penaltiesTaken,penaltyGoals
158534,Kyle Walker-Peters,Defender,West Ham United,21,England,2022-23,154.0,2.4862,0.0,,,173.0,31.0,30.0,214.0,1015.0,,44.0,,2652.0,170.0,154.0,776.0,,2.0,35.0605,3.0,41.0,58.0,126.0,153.0,,41.0,0.0,324.0,393.0,156.0,31.0,,,479.0,53.0,280.0,16.0,0.0,,996.0,432.0,,,227.0,27.0,25.0,1823.0,16.0,333.0,,4.0,41.0,86.0,,49.0,61.0,26.0,,2.0,5.0,1.0,,15.0,,29.0,1.0,14.0,25.0,3.0,5.0,1.4676,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,28.0,2.0,1.0,39.0,39.0,82.0,5.0,32.0,1.0,242.0,207.0,1.0,2.0,11.0,5.0,10.0,39.0,3.0,1.0,11.0,90.0,52.0,48.0,39.0,1.0,1.0,2.0,52.0,8.0,4.0,1.0,10.0,0.8372,,,,,,,,,,,,,,,,
212721,Lyanco,Defender,Southampton,20,Brazil,2022-23,48.0,0.1423,0.0,,,58.0,21.0,11.0,123.0,502.0,,45.0,,1175.0,71.0,46.0,347.0,,1.0,17.2046,5.0,61.0,26.0,28.0,88.0,,10.0,0.0,119.0,215.0,84.0,21.0,,,127.0,24.0,74.0,25.0,0.0,,487.0,176.0,,,160.0,20.0,32.0,761.0,20.0,253.0,,4.0,65.0,51.0,,30.0,26.0,19.0,,,2.0,,,3.0,,8.0,,1.0,16.0,1.0,4.0,0.7619,3.0,1.0,1.0,1.0,,10.0,1.0,1.0,20.0,1.0,,2.0,6.0,6.0,7.0,18.0,1.0,39.0,20.0,,,1.0,1.0,11.0,6.0,,2.0,1.0,12.0,13.0,28.0,5.0,0.0,2.0,1.0,10.0,25.0,2.0,,9.0,0.5506,1.0,1.0,,,,,,,,,,,,,,
88900,Jack Stephens,Defender,Southampton U21,12945,England,2022-23,34.0,0.2284,0.0,,,53.0,17.0,13.0,100.0,566.0,,36.0,,1218.0,39.0,22.0,431.0,,,19.898,4.0,55.0,24.0,15.0,83.0,,2.0,0.0,73.0,232.0,66.0,17.0,,,163.0,24.0,37.0,17.0,0.0,,561.0,109.0,,,211.0,17.0,35.0,714.0,23.0,305.0,,3.0,47.0,46.0,,23.0,17.0,12.0,,4.0,,,,3.0,,4.0,1.0,,9.0,,1.0,0.6736,2.0,,,,,4.0,1.0,1.0,19.0,,,,,2.0,1.0,13.0,,40.0,1.0,,,2.0,,2.0,,,,2.0,13.0,9.0,2.0,7.0,,,,3.0,17.0,,,2.0,0.3854,,,,,,,,,,,,,,,,
173271,Duje Caleta-Car,Defender,Lyon,143,Croatia,2022-23,29.0,0.1811,0.0,,,39.0,13.0,9.0,83.0,562.0,4.0,34.0,,945.0,36.0,17.0,440.0,,,10.3127,7.0,65.0,15.0,14.0,176.0,,1.0,0.0,65.0,202.0,54.0,13.0,,,112.0,12.0,31.0,19.0,0.0,4.0,541.0,91.0,,,146.0,15.0,39.0,702.0,16.0,367.0,,2.0,44.0,35.0,,13.0,14.0,9.0,,1.0,3.0,,,1.0,,4.0,,,9.0,,2.0,0.0438,,1.0,,1.0,,4.0,1.0,1.0,15.0,,,,1.0,2.0,3.0,10.0,,38.0,1.0,,,,,5.0,1.0,,,,5.0,9.0,,4.0,0.0,,,2.0,11.0,2.0,,5.0,0.795,,1.0,,,,,,,,,,,,,,
184386,James Bree,Defender,Southampton,20,England,2022-23,9.0,0.2268,0.0,,,26.0,5.0,4.0,31.0,139.0,,13.0,,368.0,16.0,7.0,104.0,,,8.4205,1.0,11.0,12.0,5.0,7.0,,,0.0,25.0,53.0,17.0,5.0,,,60.0,12.0,12.0,9.0,0.0,,137.0,51.0,,,48.0,6.0,4.0,217.0,2.0,52.0,,1.0,5.0,13.0,,10.0,5.0,7.0,,,,,,4.0,,2.0,,,1.0,,1.0,0.0614,,,,,,1.0,,,4.0,,,1.0,9.0,3.0,,3.0,,31.0,21.0,,,4.0,,1.0,9.0,,1.0,4.0,6.0,2.0,5.0,2.0,,1.0,,2.0,1.0,2.0,,1.0,0.0331,,,,,,,,,,,,,,,,
244560,Romain Perraud,Defender,Lille,429,France,2022-23,119.0,1.8915,0.0,,,111.0,29.0,22.0,167.0,660.0,,37.0,,1837.0,94.0,80.0,480.0,,,23.4787,7.0,34.0,35.0,96.0,189.0,,15.0,0.0,213.0,287.0,97.0,29.0,,,299.0,32.0,176.0,14.0,0.0,,652.0,334.0,,,32.0,20.0,13.0,1207.0,30.0,206.0,,4.0,56.0,57.0,,43.0,54.0,23.0,,2.0,3.0,,,13.0,,21.0,,15.0,31.0,17.0,6.0,2.1443,1.0,2.0,3.0,0.0,11.0,7.0,2.0,2.0,23.0,6.0,1.0,25.0,65.0,39.0,7.0,33.0,1.0,152.0,118.0,,,12.0,7.0,13.0,65.0,1.0,2.0,12.0,60.0,41.0,25.0,18.0,2.0,2.0,6.0,11.0,6.0,10.0,11.0,12.0,1.3065,2.0,,1.0,1.0,,,,,,,,,,,,
441191,Tino Livramento,Defender,Newcastle United,4,England,2022-23,1.0,0.0009,0.0,,,4.0,2.0,,5.0,19.0,,1.0,,26.0,6.0,6.0,14.0,,,1.0093,,3.0,,,1.0,,2.0,0.0,7.0,7.0,4.0,2.0,,,2.0,,6.0,,0.0,,18.0,6.0,,,7.0,2.0,,41.0,,12.0,,0.0,1.0,4.0,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,1.0,,4.0,7.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
450527,Mohammed Salisu,Defender,Monaco,146,Ghana,2022-23,74.0,0.5444,0.0,,,128.0,22.0,21.0,253.0,1090.0,3.0,83.0,,1972.0,119.0,64.0,764.0,,,24.2046,24.0,119.0,41.0,46.0,326.0,,3.0,0.0,193.0,531.0,157.0,22.0,,,315.0,37.0,110.0,55.0,0.0,3.0,1062.0,337.0,,,138.0,30.0,73.0,1540.0,59.0,526.0,,5.0,125.0,97.0,,54.0,53.0,36.0,,1.0,4.0,,,6.0,,23.0,1.0,3.0,26.0,2.0,5.0,0.4393,1.0,,1.0,,,1.0,5.0,5.0,28.0,2.0,,3.0,9.0,12.0,12.0,30.0,1.0,95.0,38.0,,,4.0,2.0,17.0,9.0,,,4.0,42.0,25.0,49.0,30.0,,,2.0,8.0,25.0,1.0,,17.0,1.4943,1.0,,1.0,,1.0,1.0,,,,,,,,,,
515571,Juan Larios,Defender,Southampton,20,Spain,2022-23,9.0,0.0277,0.0,,,9.0,5.0,2.0,11.0,55.0,,7.0,,152.0,12.0,10.0,43.0,,,1.1102,1.0,3.0,2.0,4.0,9.0,,,0.0,21.0,22.0,9.0,5.0,,,22.0,2.0,14.0,2.0,0.0,,55.0,26.0,,,4.0,3.0,1.0,112.0,1.0,23.0,,0.0,2.0,4.0,,6.0,7.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,3.0,,,5.0,,,1.0,3.0,3.0,,6.0,,20.0,18.0,,,1.0,1.0,,3.0,,,1.0,4.0,2.0,5.0,2.0,,,,3.0,,2.0,,1.0,,,,,,,,,,,,,,,,,
171771,Jan Bednarek,Defender,FC Porto,201,Poland,2022-23,38.0,0.0074,0.0,,,87.0,23.0,21.0,146.0,954.0,5.0,57.0,,1772.0,79.0,38.0,753.0,,2.0,1.6259,6.0,92.0,40.0,22.0,189.0,,8.0,0.0,117.0,360.0,102.0,23.0,,,196.0,39.0,60.0,41.0,0.0,5.0,912.0,159.0,,,338.0,51.0,55.0,1231.0,23.0,612.0,,5.0,59.0,67.0,,41.0,30.0,26.0,,3.0,1.0,,,3.0,,6.0,,1.0,16.0,4.0,,,,,,,,2.0,,,16.0,,,1.0,1.0,2.0,4.0,24.0,1.0,67.0,5.0,,,,,4.0,1.0,,,,22.0,14.0,7.0,13.0,,,,1.0,28.0,4.0,,9.0,,,,1.0,,,,,,,,,,,,,
