playerId,playerName,position,team_name,team_id,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,aerialDuels,penaltiesFaced,timePlayed,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,savesMadeCaught,aerialDuelsLost,goalsConcededOutsideBox,goalkeeperSmother,penaltiesSaved,cleanSheets,savesFromPenalty,groundDuelsLost,cornersWon,totalFoulsConceded,interceptions,handballsConceded,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,lastPlayerTackle,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,tacklesWon,successfulDribbles,blocks,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,foulAttemptedTackle,expectedGoals,secondGoalAssists,expectedGoalsFreekick,substituteOn,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,goals,awayGoals,penaltiesConceded,homeGoals,headedGoals,hitWoodwork,leftFootGoals,rightFootGoals,foulWonPenalty,penaltiesTaken
158534,Kyle Walker-Peters,Defender,West Ham United,21,England,2024-25,2.3046,0.0,,,115.0,33.0,33.0,142.0,1495.0,7.0,32.0,,2922.0,145.0,45.0,134.0,1328.0,,7.0,75.3047,2.0,75.0,77.0,407.0,,52.0,0.0,291.0,435.0,135.0,33.0,,,702.0,67.0,259.0,11.0,0.0,7.0,1449.0,312.0,,,322.0,25.0,2149.0,11.0,659.0,,5.0,27.0,41.0,146.0,,21.0,10.0,,,2.0,,125.0,15.0,28.0,19.0,,8.0,8.0,6.0,2.0,0.6635,44.0,12.0,5.0,2.0,8.0,43.0,2.0,3.0,3.0,2.0,8.0,4.0,4.0,1.0,65.0,12.0,22.0,5.0,12.0,2.0,15.0,1.0,39.0,43.0,78.0,5.0,6.0,29.0,38.0,15.0,1.0,331.0,132.0,4.0,3.0,13.0,0.8431,1.0,,,,,,,,,,,,,,,,
204863,Ryan Manning,Defender,Southampton,20,Ireland,2024-25,2.7988,0.0,,,73.0,24.0,18.0,101.0,620.0,,22.0,,1468.0,86.0,30.0,71.0,498.0,,3.0,34.4654,2.0,40.0,35.0,250.0,,32.0,0.0,142.0,179.0,65.0,24.0,,,288.0,31.0,120.0,15.0,0.0,,593.0,223.0,,,29.0,21.0,1027.0,13.0,257.0,,2.0,28.0,28.0,56.0,,7.0,4.0,,,,,49.0,11.0,19.0,17.0,2.0,8.0,5.0,1.0,1.0,0.0167,28.0,3.0,1.0,1.0,4.0,33.0,,3.0,32.0,1.0,26.0,,,,24.0,18.0,33.0,2.0,9.0,1.0,11.0,,16.0,58.0,21.0,2.0,2.0,17.0,11.0,11.0,1.0,162.0,74.0,13.0,3.0,12.0,0.3454,,0.0308,6.0,14.0,1.0,1.0,15.0,,,,,,,,,,
88900,Jack Stephens,Defender,Southampton U21,12945,England,2024-25,0.28,2.0,,,54.0,19.0,17.0,71.0,938.0,8.0,16.0,,1394.0,44.0,11.0,38.0,837.0,,1.0,32.6686,4.0,49.0,28.0,434.0,,4.0,0.0,87.0,253.0,44.0,19.0,,,328.0,24.0,71.0,6.0,2.0,8.0,911.0,87.0,,,169.0,30.0,1115.0,10.0,539.0,,2.0,17.0,36.0,43.0,,10.0,4.0,,,1.0,,33.0,,13.0,13.0,,,,2.0,1.0,1.0538,34.0,4.0,,,5.0,1.0,1.0,,,1.0,,,,,11.0,3.0,3.0,,7.0,1.0,14.0,1.0,4.0,1.0,7.0,,2.0,20.0,,13.0,1.0,82.0,12.0,4.0,,9.0,0.566,,,2.0,,,,,1.0,0.0,1.0,1.0,1.0,1.0,,,,
245719,Taylor Harwood-Bellis,Defender,Southampton U21,12945,England,2024-25,0.6652,0.0,,,155.0,34.0,32.0,252.0,2124.0,3.0,113.0,,2828.0,108.0,33.0,45.0,1772.0,,7.0,65.6329,13.0,140.0,65.0,484.0,,14.0,0.0,213.0,745.0,123.0,34.0,,,645.0,57.0,100.0,63.0,0.0,3.0,2070.0,293.0,,,783.0,100.0,2521.0,39.0,1228.0,,9.0,97.0,100.0,105.0,,50.0,8.0,,,3.0,,55.0,13.0,35.0,30.0,,1.0,6.0,8.0,,2.1847,28.0,14.0,3.0,,2.0,9.0,,,,1.0,1.0,6.0,6.0,,43.0,8.0,14.0,6.0,22.0,1.0,8.0,,,9.0,5.0,6.0,6.0,20.0,3.0,43.0,3.0,112.0,19.0,5.0,,16.0,1.7852,,,2.0,,,,,1.0,1.0,,0.0,1.0,,,,,
184386,James Bree,Defender,Southampton,20,England,2024-25,0.7023,0.0,,,54.0,17.0,13.0,72.0,533.0,1.0,20.0,,1073.0,40.0,16.0,27.0,450.0,,1.0,29.6392,2.0,27.0,31.0,67.0,,5.0,0.0,73.0,159.0,65.0,17.0,,,204.0,25.0,53.0,13.0,0.0,1.0,523.0,115.0,,,185.0,11.0,715.0,7.0,264.0,,0.0,18.0,14.0,33.0,,7.0,6.0,,,1.0,,26.0,4.0,4.0,9.0,,6.0,3.0,1.0,,0.0571,19.0,1.0,,1.0,,20.0,,3.0,3.0,,7.0,1.0,1.0,,11.0,4.0,9.0,,7.0,,5.0,1.0,2.0,22.0,7.0,,,14.0,4.0,3.0,,122.0,32.0,6.0,3.0,2.0,0.1108,,,4.0,1.0,,,1.0,,,,,,,,,,
244845,Nathan Wood,Defender,Southampton U21,12945,England,2024-25,0.0482,0.0,,,19.0,11.0,9.0,28.0,471.0,5.0,24.0,,772.0,37.0,4.0,22.0,435.0,,,20.4941,1.0,38.0,20.0,182.0,,4.0,0.0,59.0,117.0,20.0,11.0,,,108.0,15.0,35.0,15.0,0.0,5.0,462.0,39.0,,,126.0,8.0,574.0,3.0,335.0,,2.0,9.0,10.0,22.0,,9.0,5.0,,,1.0,,13.0,,9.0,5.0,,,,,,,14.0,2.0,,,,3.0,,,,,,,,,3.0,,1.0,,3.0,,6.0,2.0,1.0,3.0,2.0,,2.0,8.0,4.0,6.0,1.0,46.0,1.0,3.0,,5.0,0.2309,,,2.0,,,,,,,,,,,,,,
219279,Yukinari Sugawara,Defender,Southampton,20,Japan,2024-25,2.4578,0.0,,,87.0,30.0,16.0,111.0,722.0,,14.0,,1555.0,55.0,33.0,50.0,595.0,,4.0,41.3903,1.0,47.0,46.0,45.0,,10.0,0.0,103.0,224.0,44.0,30.0,,,318.0,40.0,89.0,5.0,0.0,,710.0,212.0,,,305.0,16.0,1097.0,13.0,306.0,,4.0,24.0,46.0,48.0,,9.0,6.0,,,,,39.0,18.0,15.0,11.0,3.0,9.0,5.0,6.0,1.0,0.6228,31.0,9.0,1.0,1.0,3.0,46.0,4.0,2.0,10.0,2.0,13.0,3.0,3.0,1.0,29.0,8.0,17.0,3.0,11.0,2.0,13.0,1.0,10.0,57.0,15.0,3.0,3.0,18.0,9.0,10.0,1.0,148.0,89.0,10.0,2.0,9.0,0.4863,,0.0441,14.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,0.0,,,1.0,,,
103914,Charlie Taylor,Defender,Southampton U21,12945,England,2024-25,0.1521,0.0,,,10.0,8.0,3.0,15.0,192.0,,8.0,,353.0,18.0,6.0,12.0,168.0,,1.0,11.2599,2.0,30.0,12.0,74.0,,3.0,0.0,25.0,53.0,10.0,8.0,,,61.0,10.0,17.0,6.0,0.0,,187.0,29.0,,,26.0,9.0,285.0,5.0,118.0,,1.0,5.0,6.0,7.0,,2.0,2.0,,,,,5.0,,2.0,5.0,,1.0,,,,,7.0,,,,1.0,4.0,,,2.0,,2.0,,,,2.0,4.0,1.0,,3.0,,2.0,,,7.0,1.0,,,5.0,2.0,5.0,,39.0,17.0,,,2.0,,,,5.0,1.0,,,1.0,,,,,,,,,,
500016,Welington,Defender,Southampton U21,12945,Brazil,2024-25,0.1647,0.0,,,16.0,10.0,6.0,23.0,141.0,,9.0,,480.0,39.0,12.0,34.0,110.0,,1.0,9.6736,4.0,33.0,10.0,46.0,,8.0,0.0,63.0,52.0,21.0,10.0,,,66.0,8.0,54.0,5.0,0.0,,136.0,57.0,,,4.0,8.0,293.0,7.0,56.0,,1.0,7.0,8.0,24.0,,4.0,2.0,,,,,20.0,3.0,6.0,7.0,,4.0,2.0,,,,21.0,1.0,,,1.0,7.0,1.0,2.0,6.0,,4.0,,,,3.0,5.0,3.0,,4.0,,12.0,,3.0,13.0,7.0,,1.0,9.0,5.0,1.0,,39.0,23.0,4.0,2.0,3.0,0.0369,,,4.0,,,,5.0,,,1.0,,,,,,,
171771,Jan Bednarek,Defender,FC Porto,201,Poland,2024-25,0.854,0.0,,,77.0,30.0,30.0,120.0,1683.0,45.0,109.0,,2535.0,123.0,15.0,51.0,1502.0,,4.0,57.4583,9.0,189.0,57.0,612.0,,13.0,0.0,208.0,429.0,106.0,30.0,,,409.0,49.0,99.0,72.0,0.0,44.0,1605.0,135.0,1.0,,557.0,61.0,2090.0,26.0,1154.0,,7.0,43.0,57.0,85.0,,37.0,8.0,,,3.0,,48.0,1.0,31.0,56.0,1.0,,1.0,3.0,,1.4943,36.0,4.0,,,,1.0,,,,,,1.0,1.0,,15.0,,5.0,1.0,11.0,,17.0,2.0,,1.0,3.0,1.0,1.0,19.0,3.0,36.0,2.0,85.0,1.0,4.0,,10.0,0.6519,,,,,,,,2.0,1.0,1.0,1.0,1.0,,1.0,,,
