playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,penaltiesSaved,expectedAssists,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,tacklesLost,unsuccessfulDribbles,redCards2ndYellow,unsuccessfulCrossesAndCorners,freekickTotal,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,handballsConceded,expectedGoals,goals,iboxTarget,shotsOnTargetInBox,ownGoalScored,headedGoals,hitWoodwork,rightFootGoals,leftFootGoals,successfulCornersIntoBox,unsuccessfulLayoffs,secondGoalAssists,setPiecesGoals,penaltiesTaken,penaltyGoals,foulWonPenalty,otherGoals
40387,Dan Gosling,Midfielder,Notts County,104,England,2017-18,0.0,0.0,8.0,177.0,,1.6494,,,192.0,28.0,21.0,242.0,1062.0,,112.0,1.0,,1943.0,58.0,147.0,5.0,1.0,59.0,93.0,781.0,,,1.0,35.0832,16.0,2.0,25.0,41.0,119.0,285.0,,25.0,324.0,,438.0,151.0,28.0,,,440.0,36.0,212.0,54.0,,1034.0,323.0,,,222.0,38.0,25.0,39.0,1392.0,22.0,383.0,17.0,,50.0,73.0,3.0,,4.0,8.0,2.2955,50.0,18.0,1.0,1.0,18.0,3.0,2.0,2.0,7.0,1.0,1.0,3.0,25.0,1.0,2.0,28.0,1.0,25.0,6.0,,3.0,,2.0,10.0,3.0,25.0,18.0,8.0,,,,117.0,2.0,2.0,2.0,1.0,2.0602,2.0,5.0,5.0,,,,1.0,1.0,,,,,,,,
15237,Andrew Surman,Midfielder,MK Dons,22,England,2017-18,0.0,0.0,2.0,88.0,,1.5385,,,138.0,25.0,20.0,184.0,1177.0,,80.0,5.0,,1852.0,45.0,75.0,3.0,,34.0,40.0,927.0,,,1.0,25.8341,11.0,2.0,49.0,29.0,43.0,337.0,,14.0,163.0,,386.0,123.0,25.0,,,536.0,26.0,83.0,35.0,,1133.0,236.0,,,323.0,9.0,16.0,66.0,1423.0,14.0,461.0,5.0,,46.0,51.0,,,4.0,6.0,1.9168,16.0,14.0,2.0,5.0,17.0,6.0,1.0,4.0,5.0,18.0,3.0,4.0,10.0,,,21.0,3.0,4.0,6.0,,17.0,,,8.0,5.0,12.0,13.0,12.0,,11.0,2.0,131.0,,1.0,4.0,1.0,1.1804,2.0,1.0,1.0,,,,,2.0,2.0,1.0,,,,,,
48615,Harry Arter,Midfielder,Nottingham Forest U21,19584,Ireland,2017-18,0.0,0.0,4.0,39.0,,0.3834,,,50.0,13.0,11.0,74.0,586.0,,8.0,1.0,,961.0,2.0,44.0,2.0,,19.0,38.0,475.0,,,,17.1108,3.0,1.0,5.0,13.0,37.0,179.0,,15.0,83.0,,170.0,66.0,13.0,,,277.0,11.0,75.0,6.0,,559.0,99.0,,,164.0,9.0,9.0,37.0,708.0,8.0,235.0,3.0,,24.0,12.0,,,6.0,1.0,0.3756,19.0,5.0,1.0,,14.0,4.0,,6.0,2.0,1.0,,,1.0,,,13.0,,3.0,4.0,,5.0,,,4.0,2.0,16.0,4.0,5.0,,1.0,,73.0,1.0,4.0,6.0,1.0,0.3287,1.0,,,,,,,1.0,,1.0,,,,,,
155408,Lewis Cook,Midfielder,Bournemouth,91,England,2017-18,0.0,0.0,5.0,158.0,,2.2021,,,184.0,29.0,25.0,253.0,1228.0,,41.0,3.0,,2239.0,27.0,151.0,5.0,,38.0,137.0,868.0,,,2.0,36.0472,26.0,4.0,21.0,42.0,131.0,344.0,,20.0,309.0,,465.0,198.0,29.0,,,559.0,37.0,268.0,14.0,,1203.0,370.0,,,265.0,33.0,35.0,107.0,1637.0,24.0,425.0,25.0,,69.0,71.0,5.0,,8.0,2.0,0.346,67.0,10.0,5.0,2.0,14.0,13.0,1.0,6.0,4.0,15.0,2.0,9.0,11.0,,2.0,21.0,2.0,32.0,17.0,,20.0,,2.0,8.0,6.0,35.0,50.0,12.0,,7.0,,154.0,5.0,5.0,6.0,,0.4792,,,,,,,,,5.0,,3.0,,,,,
56872,Junior Stanislas,Midfielder,Bournemouth,91,England,2017-18,0.0,0.0,1.0,65.0,,1.7627,,,105.0,19.0,17.0,111.0,489.0,,35.0,,,1296.0,25.0,48.0,1.0,,48.0,38.0,369.0,,,1.0,18.326,22.0,,11.0,22.0,40.0,133.0,,2.0,113.0,,161.0,74.0,19.0,,,267.0,21.0,78.0,10.0,,484.0,235.0,,,96.0,6.0,6.0,9.0,775.0,3.0,125.0,5.0,,6.0,27.0,4.0,0.5909,14.0,20.0,5.4963,16.0,31.0,4.0,2.0,23.0,21.0,1.0,8.0,2.0,38.0,11.0,14.0,43.0,,6.0,15.0,11.0,8.0,10.0,,57.0,8.0,6.0,11.0,9.0,8.0,20.0,6.0,8.0,27.0,,99.0,6.0,12.0,8.0,,3.8856,5.0,4.0,4.0,,,1.0,4.0,1.0,9.0,,,1.0,1.0,1.0,,
122342,Emerson Hyndman,Midfielder,Bournemouth,91,United States,2017-18,0.0,0.0,0.0,1.0,,0.0149,,,2.0,1.0,1.0,3.0,24.0,,,,,59.0,,,,,2.0,,19.0,,,,1.2164,1.0,,,1.0,1.0,4.0,,,1.0,,4.0,2.0,1.0,,,10.0,1.0,1.0,,,23.0,6.0,,,11.0,,1.0,2.0,31.0,,11.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,
90105,Ryan Fraser,Midfielder,Southampton,20,Scotland,2017-18,0.0,0.0,0.0,75.0,,2.7514,,,158.0,26.0,23.0,191.0,816.0,,35.0,2.0,,2009.0,26.0,74.0,4.0,,55.0,65.0,605.0,,,2.0,31.8284,39.0,1.0,29.0,38.0,49.0,154.0,,45.0,149.0,,297.0,103.0,26.0,,,443.0,34.0,114.0,9.0,,788.0,385.0,,,202.0,6.0,17.0,20.0,1268.0,17.0,216.0,2.0,,33.0,47.0,19.0,0.0762,10.0,12.0,2.2768,11.0,20.0,3.0,3.0,24.0,58.0,1.0,5.0,3.0,59.0,4.0,34.0,61.0,11.0,5.0,16.0,4.0,3.0,13.0,,104.0,1.0,5.0,8.0,22.0,8.0,10.0,4.0,1.0,38.0,,163.0,35.0,8.0,5.0,,1.8102,5.0,3.0,3.0,,,,4.0,1.0,11.0,,1.0,,,,,
103912,Jordon Ibe,Midfielder,Derby County,24,England,2017-18,0.0,0.0,1.0,141.0,,4.4166,,,125.0,32.0,22.0,136.0,695.0,,19.0,,,2000.0,15.0,95.0,2.0,,45.0,91.0,538.0,,,,29.8999,30.0,,9.0,33.0,126.0,84.0,,41.0,236.0,,222.0,101.0,32.0,,,402.0,31.0,217.0,4.0,,675.0,376.0,,,231.0,10.0,10.0,21.0,1174.0,3.0,187.0,5.0,,11.0,34.0,5.0,0.3504,21.0,17.0,2.1265,14.0,33.0,5.0,6.0,41.0,41.0,2.0,11.0,10.0,57.0,8.0,30.0,60.0,,10.0,5.0,8.0,2.0,50.0,,79.0,4.0,10.0,16.0,27.0,12.0,37.0,,4.0,31.0,,158.0,7.0,14.0,11.0,,2.9596,2.0,7.0,7.0,,,2.0,2.0,,18.0,6.0,,,,,,
200370,Matt Butcher,Midfielder,Salford City,3448,England,2017-18,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431774,Kyle Taylor,Midfielder,Exeter City,71,England,2017-18,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
