playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,unsuccessfulShortPasses,penaltiesConceded,keyPassesAttemptAssists,tacklesWon,totalFoulsConceded,interceptions,foulAttemptedTackle,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,substituteOn,blocks,backwardPasses,iboxTarget,shotsOnTargetInBox,throwInsToOwnPlayer,expectedGoals,successfulCrossesOpenPlay,expectedGoalsFreekick,blockedShots,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCrossesAndCorners,successfulCornersIntoBox,throwInsToOppositionPlayer,penaltiesTaken,oboxTarget,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,freekickTotal,shotsOffTargetIncWoodwork,cornersWon,attemptsFromSetPieces,unsuccessfulCornersIntoBox,penaltyGoals,hitWoodwork,shotsBlockedOutsideBox,throughBalls,totalTouchesInOppositionBox,clearancesOffTheLine,substituteOff,handballsConceded,ownGoalScored,shotsBlockedInBox,headedGoals,iboxBlocked,secondGoalAssists,rightFootGoals,foulWonPenalty,unsuccessfulLayoffs,redCards2ndYellow,overruns,awayGoals,winningGoal,homeGoals,timesTackled
9007,Tony Hibbert,Defender,Everton PL2,7592,England,2015-16,4.0,0.0058,0.0,,,1.0,,3.0,17.0,,1.0,,,45.0,1.0,1.0,,,1.0,13.0,,,0.1657,,,,3.0,1.0,,,5.0,,,8.0,4.0,1.0,,,9.0,,4.0,,0.0,,17.0,4.0,,,,3.0,1.0,26.0,1.0,5.0,,0.0,1.0,,1.0,2.0,,,1.0,,3.0,,1.0,0.034,1.0,1.0,1.0,5.0,1.0,1.0,2.0,0.0474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12745,Leighton Baines,Defender,Everton,11,England,2015-16,54.0,1.7662,0.0,,,18.0,16.0,135.0,756.0,,26.0,4.0,,1477.0,17.0,68.0,2.0,42.0,59.0,564.0,,4.0,25.8351,6.0,42.0,26.0,37.0,325.0,,21.0,122.0,25.0,,317.0,62.0,18.0,,,379.0,24.0,96.0,9.0,0.0,,737.0,278.0,4.0,,,15.0,57.0,1236.0,30.0,267.0,,0.0,58.0,32.0,34.0,77.0,,21.0,20.0,6.0,29.0,4.0,3.0,1.4352,6.0,2.0,6.0,99.0,,,127.0,1.2538,9.0,0.2684,3.0,1.0,1.0,41.0,2.0,4.0,3.0,42.0,1.0,25.0,13.0,24.0,1.0,1.0,14.0,2.0,5.0,78.0,4.0,3.0,10.0,4.0,28.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
97299,John Stones,Defender,Manchester City,43,England,2015-16,74.0,0.8542,0.0,,,33.0,31.0,177.0,1566.0,,83.0,8.0,,2779.0,30.0,147.0,3.0,31.0,94.0,1245.0,,5.0,45.1545,11.0,127.0,45.0,44.0,235.0,,26.0,221.0,11.0,,606.0,180.0,33.0,,,458.0,42.0,138.0,53.0,0.0,,1510.0,229.0,23.0,,,624.0,144.0,1971.0,54.0,933.0,,3.0,87.0,48.0,46.0,90.0,1.0,6.0,36.0,11.0,56.0,7.0,1.0,0.0355,7.0,2.0,34.0,101.0,1.0,1.0,12.0,0.4259,2.0,,1.0,,3.0,2.0,,,1.0,,,2.0,,1.0,,,10.0,,8.0,2.0,,6.0,2.0,,,,,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
7645,Phil Jagielka,Defender,Stoke City,110,England,2015-16,66.0,0.2538,0.0,,,21.0,21.0,163.0,1036.0,,96.0,7.0,,1851.0,38.0,111.0,1.0,23.0,53.0,725.0,,,24.3761,29.0,170.0,25.0,28.0,265.0,,15.0,177.0,15.0,,437.0,115.0,21.0,,,264.0,24.0,81.0,58.0,0.0,,990.0,200.0,3.0,,,263.0,148.0,1390.0,61.0,610.0,,0.0,105.0,43.0,39.0,58.0,,2.0,28.0,9.0,50.0,7.0,1.0,0.0615,9.0,,21.0,71.0,1.0,1.0,4.0,0.5895,1.0,,,,,2.0,,,,,,1.0,,,,,11.0,,1.0,2.0,,8.0,2.0,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,
77762,Bryan Oviedo,Defender,FC København,569,Costa Rica,2015-16,61.0,1.2177,0.0,,,14.0,12.0,81.0,432.0,,17.0,3.0,,998.0,14.0,64.0,1.0,22.0,61.0,327.0,,2.0,20.4538,3.0,34.0,18.0,47.0,132.0,,13.0,125.0,6.0,,161.0,53.0,14.0,,,190.0,17.0,108.0,3.0,0.0,,421.0,166.0,8.0,,,78.0,24.0,749.0,20.0,172.0,,0.0,28.0,36.0,41.0,53.0,,12.0,34.0,17.0,20.0,10.0,3.0,0.2484,4.0,2.0,4.0,61.0,1.0,1.0,74.0,0.409,5.0,,1.0,1.0,,19.0,,1.0,1.0,15.0,2.0,11.0,6.0,15.0,,2.0,7.0,,7.0,31.0,,1.0,7.0,,9.0,,,1.0,1.0,,,4.0,1.0,,,,,,,,,,,,,,
59949,Séamus Coleman,Defender,Everton,11,Ireland,2015-16,120.0,1.618,0.0,,,28.0,27.0,166.0,1044.0,,35.0,7.0,,2386.0,22.0,142.0,2.0,39.0,129.0,833.0,,3.0,33.2258,9.0,71.0,34.0,98.0,51.0,,28.0,262.0,18.0,,403.0,160.0,28.0,,,527.0,32.0,227.0,13.0,0.0,,1033.0,389.0,43.0,,,390.0,45.0,1784.0,46.0,365.0,,4.0,74.0,39.0,58.0,92.0,,15.0,46.0,20.0,36.0,10.0,6.0,1.2378,19.0,1.0,11.0,200.0,2.0,2.0,196.0,2.2386,14.0,,8.0,3.0,2.0,79.0,1.0,8.0,5.0,,3.0,14.0,,27.0,,3.0,12.0,,32.0,79.0,,13.0,28.0,,,,1.0,5.0,,3.0,,4.0,1.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,
121221,Ramiro Funes Mori,Defender,River Plate,608,Argentina,2015-16,75.0,0.8147,1.0,,,28.0,24.0,201.0,1238.0,,121.0,6.0,,2191.0,45.0,139.0,2.0,32.0,63.0,930.0,,4.0,33.0336,30.0,217.0,35.0,30.0,421.0,,10.0,214.0,11.0,,526.0,146.0,28.0,,,341.0,33.0,93.0,76.0,1.0,1.0,1188.0,269.0,12.0,,,214.0,107.0,1680.0,70.0,700.0,,4.0,119.0,57.0,41.0,82.0,1.0,5.0,31.0,8.0,66.0,5.0,9.0,2.0231,22.0,4.0,11.0,77.0,4.0,4.0,7.0,2.6613,4.0,,2.0,1.0,1.0,2.0,4.0,2.0,1.0,,1.0,4.0,,,,1.0,10.0,1.0,4.0,2.0,,13.0,1.0,,,,,1.0,,,,,,,1.0,2.0,1.0,,1.0,,,,,,,,
149468,Tyias Browning,Defender,Everton PL2,7592,England,2015-16,10.0,0.0206,0.0,,,5.0,3.0,17.0,92.0,,6.0,1.0,,299.0,2.0,14.0,,3.0,10.0,71.0,,,4.5883,,12.0,5.0,8.0,10.0,,2.0,24.0,1.0,,34.0,12.0,5.0,,,30.0,5.0,18.0,4.0,0.0,,91.0,34.0,,,,31.0,4.0,156.0,9.0,45.0,,1.0,9.0,7.0,9.0,8.0,,2.0,8.0,4.0,6.0,3.0,,,1.0,2.0,,17.0,,,21.0,0.2764,,,1.0,,,5.0,,,,,,,,2.0,,,1.0,,,5.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,
194164,Mason Holgate,Defender,Everton,11,Jamaica,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108824,Brendan Galloway,Defender,Plymouth Argyle,76,Zimbabwe,2015-16,56.0,0.537,0.0,,,15.0,14.0,75.0,396.0,,19.0,2.0,,1223.0,12.0,93.0,2.0,28.0,86.0,312.0,,1.0,17.0836,1.0,30.0,20.0,44.0,129.0,,29.0,149.0,9.0,,159.0,58.0,15.0,,,179.0,18.0,130.0,7.0,0.0,,391.0,152.0,7.0,,,12.0,9.0,734.0,15.0,145.0,,2.0,23.0,25.0,50.0,52.0,,3.0,30.0,9.0,21.0,6.0,,,5.0,1.0,5.0,96.0,,,86.0,0.4793,3.0,,3.0,1.0,2.0,10.0,,,1.0,,,3.0,,16.0,,,20.0,,6.0,10.0,,5.0,7.0,,,,,1.0,,3.0,1.0,4.0,,,2.0,,2.0,,,,,,,,,,
