playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,groundDuelsLost,substituteOn,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,expectedGoals,goals,oboxBlocked,headedGoals,shotsBlockedOutsideBox,offsides,expectedGoalsFreekick,foulWonPenalty,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,penaltiesTaken,oboxTarget,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,ownGoalScored,handballsConceded,clearancesOffTheLine,rightFootGoals,unsuccessfulLayoffs,penaltyGoals,penaltiesConceded,otherGoals
37748,Bacary Sagna,Defender,Manchester City,43,France,2015-16,112.0,2.7636,0.0,,50.0,,205.0,28.0,27.0,274.0,1587.0,,143.0,11.0,,2448.0,57.0,155.0,6.0,57.0,69.0,1261.0,,22.4772,24.0,12.0,99.0,26.0,96.0,,14.0,267.0,20.0,,672.0,126.0,28.0,,,17.0,830.0,20.0,124.0,86.0,0.0,,1573.0,440.0,5.0,,,601.0,52.0,2296.0,1.0,49.0,502.0,,4.0,69.0,80.0,55.0,1.0,19.0,1.0,2.0,0.2031,4.0,2.0,3.0,4.0,55.0,19.0,2.0,2.0,2.0,57.0,1.0,6.0,55.0,1.0,2.0,19.0,33.0,7.0,17.0,50.0,218.0,266.0,9.0,0.2066,,,,,,,,,,,,,,,,,,,,,,,,,
17476,Vincent Kompany,Defender,Manchester City,43,Belgium,2015-16,30.0,0.1896,0.0,,20.0,,62.0,14.0,13.0,116.0,678.0,,41.0,9.0,,1179.0,6.0,65.0,1.0,11.0,30.0,507.0,,7.6184,3.0,8.0,78.0,7.0,143.0,,3.0,95.0,7.0,,267.0,90.0,14.0,,,5.0,205.0,6.0,54.0,35.0,0.0,,666.0,137.0,7.0,,,243.0,55.0,846.0,1.0,29.0,357.0,,5.0,54.0,37.0,24.0,1.0,,3.0,3.0,1.4126,8.0,,,,,,1.0,1.0,,,2.0,,,2.0,5.0,1.0,15.0,4.0,15.0,23.0,25.0,2.0,9.0,0.5686,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
20658,Pablo Zabaleta,Defender,West Ham United,21,Argentina,2015-16,59.0,0.5861,0.0,,43.0,,63.0,13.0,12.0,86.0,575.0,,32.0,3.0,,1062.0,14.0,73.0,2.0,30.0,55.0,476.0,,14.1398,1.0,3.0,35.0,16.0,36.0,,9.0,132.0,14.0,,248.0,47.0,13.0,,,12.0,310.0,14.0,100.0,18.0,0.0,,574.0,155.0,3.0,,,198.0,13.0,889.0,1.0,10.0,179.0,,3.0,23.0,32.0,45.0,1.0,,2.0,1.0,0.1491,1.0,,1.0,2.0,19.0,,1.0,1.0,,20.0,1.0,4.0,19.0,1.0,,7.0,31.0,2.0,15.0,25.0,93.0,105.0,13.0,0.126,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,
42593,Aleksandar Kolarov,Defender,Internazionale,127,Serbia,2015-16,103.0,2.7462,0.0,,34.0,,175.0,29.0,25.0,290.0,1361.0,,72.0,10.0,,2281.0,25.0,132.0,4.0,64.0,85.0,1008.0,,26.7561,35.0,6.0,71.0,29.0,604.0,,31.0,235.0,15.0,,509.0,153.0,29.0,,,9.0,724.0,25.0,163.0,47.0,0.0,,1326.0,534.0,24.0,,,41.0,63.0,2164.0,2.0,60.0,387.0,,3.0,115.0,62.0,78.0,4.0,16.0,13.0,10.0,2.8217,26.0,1.0,3.0,,73.0,40.0,4.0,4.0,4.0,51.0,3.0,23.0,109.0,3.0,16.0,34.0,25.0,8.0,20.0,46.0,207.0,219.0,8.0,2.4805,3.0,10.0,,10.0,3.0,0.5731,1.0,43.0,3.0,16.0,1.0,3.0,3.0,9.0,9.0,26.0,3.0,,,,,,,,
57112,Eliaquim Mangala,Defender,Manchester City U21,1050,France,2015-16,76.0,0.082,0.0,,32.0,,95.0,23.0,23.0,126.0,1003.0,,62.0,9.0,,2010.0,21.0,84.0,5.0,17.0,43.0,836.0,,18.5955,,4.0,120.0,23.0,354.0,,6.0,160.0,11.0,,324.0,122.0,23.0,,,5.0,243.0,18.0,98.0,41.0,0.0,,988.0,176.0,5.0,,,269.0,41.0,1296.0,2.0,16.0,634.0,,8.0,31.0,65.0,55.0,,,,1.0,0.423,7.0,,,,2.0,,1.0,1.0,,,,1.0,2.0,,6.0,,27.0,7.0,36.0,66.0,56.0,1.0,15.0,0.887,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
17336,Gaël Clichy,Defender,Istanbul Basaksehir,2133,France,2015-16,46.0,0.8886,0.0,,28.0,,83.0,14.0,12.0,129.0,693.0,,21.0,5.0,,1088.0,9.0,59.0,2.0,31.0,47.0,535.0,,9.2273,11.0,5.0,40.0,11.0,309.0,,6.0,105.0,13.0,,293.0,77.0,14.0,,,3.0,384.0,9.0,84.0,12.0,0.0,,675.0,214.0,15.0,,,16.0,29.0,1026.0,2.0,22.0,189.0,,0.0,46.0,34.0,37.0,2.0,9.0,,,,2.0,1.0,1.0,3.0,18.0,9.0,,,,28.0,,7.0,18.0,,2.0,2.0,25.0,3.0,10.0,50.0,75.0,86.0,4.0,0.0534,,,,,,,,,,,,,,,,,1.0,,,,,,,,
15312,Martín Demichelis,Defender,Manchester City,43,Argentina,2015-16,46.0,0.1528,0.0,,20.0,,52.0,20.0,10.0,75.0,551.0,,48.0,3.0,,1015.0,13.0,68.0,1.0,11.0,33.0,453.0,,16.7776,4.0,1.0,76.0,18.0,126.0,,9.0,114.0,9.0,,242.0,47.0,20.0,,,4.0,218.0,17.0,66.0,35.0,0.0,,531.0,95.0,5.0,,,147.0,23.0,726.0,1.0,16.0,258.0,,3.0,23.0,29.0,33.0,10.0,,2.0,,,3.0,,,,,,,,,,2.0,2.0,,2.0,3.0,,16.0,4.0,12.0,35.0,36.0,,9.0,0.3196,,,,,,,,,,,,,,,,,,,1.0,,,,,,
160729,Jason Denayer,Defender,Lyon,143,Belgium,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57410,Nicolás Otamendi,Defender,Benfica,251,Argentina,2015-16,129.0,0.3323,0.0,,90.0,,147.0,30.0,30.0,249.0,1569.0,,139.0,11.0,,2672.0,49.0,219.0,7.0,31.0,129.0,1223.0,,30.8079,5.0,16.0,209.0,35.0,420.0,,30.0,348.0,19.0,,655.0,190.0,30.0,,,30.0,545.0,28.0,209.0,90.0,0.0,,1539.0,303.0,11.0,,,433.0,97.0,2122.0,1.0,40.0,775.0,,9.0,102.0,92.0,80.0,,,8.0,8.0,1.9072,19.0,,,1.0,1.0,,7.0,7.0,,,5.0,3.0,1.0,5.0,11.0,6.0,60.0,13.0,31.0,104.0,61.0,4.0,23.0,1.1883,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,2.0,,,,,
170154,Pablo Maffeo,Defender,Mallorca,181,Argentina,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145235,Angeliño,Defender,Roma,121,Spain,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113037,Cameron Humphreys,Defender,Port Vale,50,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17740,Jesús Navas,Defender,Sevilla,179,Spain,2015-16,137.0,4.9679,0.0,,29.0,,175.0,34.0,24.0,210.0,1268.0,,42.0,8.0,,2279.0,33.0,110.0,4.0,74.0,101.0,1018.0,,17.2813,47.0,1.0,11.0,22.0,99.0,,24.0,247.0,38.0,,292.0,130.0,34.0,,,5.0,847.0,18.0,205.0,9.0,0.0,,1254.0,471.0,48.0,,,460.0,40.0,1798.0,8.0,17.0,244.0,,1.0,35.0,43.0,104.0,10.0,14.0,11.0,8.0,2.8028,20.0,7.0,7.0,46.0,117.0,33.0,7.0,7.0,1.0,2.0,7.0,22.0,143.0,7.0,12.0,44.0,24.0,,18.0,21.0,417.0,12.0,10.0,2.8725,,4.0,,4.0,4.0,,,53.0,1.0,17.0,,1.0,,,,23.0,,,,,,2.0,,,
109006,James Horsfield,Defender,Scunthorpe United,93,England,2015-16,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
