playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulLayoffs,foulWonPenalty,substituteOn,unsuccessfulLayoffs,throwInsToOppositionPlayer,penaltiesTaken,leftFootGoals,substituteOff,hitWoodwork,handballsConceded,penaltiesConceded,ownGoalScored,headedGoals,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,penaltyGoals,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,secondGoalAssists,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals
13152,Andy King,Midfielder,Swansea,80,Wales,2017-18,40.0,2.0,0.5472,0.0,5.0,5.0,1.061,26.0,9.0,1.0,71.0,22.0,,14.0,101.0,11.0,560.0,3.0,1.0,2.0,29.0,1.0,1.0,2.0,1.0,1253.0,1.0,14.0,54.0,5.0,13.0,39.0,433.0,18.0,,14.6515,6.0,4.0,26.0,26.0,1.0,26.0,162.0,11.0,94.0,9.0,172.0,75.0,22.0,1.0,2.0,10.0,3.0,228.0,21.0,11.0,1.0,65.0,15.0,0.0,547.0,4.0,4.0,131.0,16.0,2.0,2.0,142.0,9.0,11.0,,26.0,84.0,705.0,2.0,2.0,11.0,233.0,4.0,0.9797,2.0,30.0,15.0,9.0,1.0,8.0,,1.0,,1.0,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
192290,Connor Roberts,Midfielder,Swansea,80,Wales,2017-18,6.0,,0.0726,0.0,,,,6.0,,,15.0,4.0,,3.0,27.0,13.0,135.0,,,,9.0,,,,,268.0,,6.0,16.0,1.0,12.0,13.0,103.0,1.0,,4.1269,,2.0,6.0,4.0,,,5.0,7.0,22.0,2.0,43.0,17.0,4.0,,,2.0,,61.0,3.0,13.0,,13.0,3.0,0.0,134.0,,,51.0,4.0,,,47.0,,3.0,,5.0,40.0,208.0,23.0,,9.0,47.0,,,0.0,12.0,8.0,,,1.0,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76542,Ki Sung-Yueng,Midfielder,Swansea,80,South Korea,2017-18,57.0,1.0,1.9317,0.0,6.0,6.0,2.1215,25.0,14.0,1.0,79.0,25.0,2.0,21.0,100.0,6.0,836.0,2.0,1.0,4.0,26.0,4.0,4.0,21.0,,1869.0,,21.0,54.0,4.0,26.0,49.0,673.0,16.0,1.0,30.758,17.0,3.0,20.0,29.0,2.0,36.0,266.0,17.0,111.0,15.0,166.0,95.0,25.0,4.0,1.0,7.0,6.0,379.0,25.0,41.0,2.0,85.0,5.0,0.0,793.0,8.0,9.0,172.0,18.0,7.0,1.0,264.0,10.0,32.0,,63.0,140.0,1086.0,1.0,4.0,7.0,378.0,6.0,0.9562,2.0,21.0,26.0,12.0,,4.0,1.0,1.0,,1.0,5.0,,,,,,0.0478,1.0,1.0,,42.0,15.0,25.0,,,,,,,,,,,,,,,,,
15114,Leon Britton,Midfielder,Swansea,80,England,2017-18,18.0,,0.0403,0.0,,,,6.0,,,9.0,5.0,,4.0,10.0,1.0,137.0,,,,4.0,,,,,304.0,,4.0,7.0,,2.0,7.0,125.0,2.0,,2.2478,,,1.0,1.0,,14.0,49.0,1.0,25.0,2.0,23.0,19.0,5.0,,,1.0,1.0,55.0,1.0,1.0,,21.0,,0.0,131.0,,,17.0,5.0,,1.0,44.0,7.0,1.0,,2.0,21.0,157.0,,,,72.0,5.0,,1.0,1.0,3.0,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49277,Leroy Fer,Midfielder,Swansea,80,Netherlands,2017-18,92.0,1.0,0.8343,0.0,2.0,3.0,1.1602,44.0,10.0,3.0,90.0,20.0,1.0,15.0,120.0,7.0,632.0,1.0,1.0,1.0,64.0,3.0,1.0,1.0,1.0,1399.0,1.0,22.0,137.0,4.0,23.0,95.0,469.0,15.0,1.0,24.0233,9.0,1.0,23.0,26.0,1.0,70.0,125.0,26.0,229.0,14.0,170.0,76.0,20.0,1.0,,12.0,6.0,263.0,22.0,7.0,1.0,165.0,42.0,0.0,619.0,7.0,4.0,183.0,32.0,26.0,4.0,209.0,28.0,12.0,,43.0,128.0,873.0,2.0,1.0,5.0,250.0,19.0,1.686,5.0,30.0,33.0,31.0,,5.0,,,,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21083,Nathan Dyer,Midfielder,Swansea,80,England,2017-18,115.0,5.0,1.0915,0.0,4.0,2.0,0.3951,22.0,6.0,2.0,90.0,24.0,,16.0,97.0,27.0,512.0,,1.0,3.0,34.0,,1.0,5.0,1.0,1312.0,1.0,29.0,70.0,5.0,33.0,65.0,410.0,31.0,3.0,22.7253,10.0,,2.0,21.0,1.0,86.0,79.0,20.0,185.0,13.0,105.0,82.0,24.0,1.0,,6.0,25.0,284.0,16.0,28.0,1.0,151.0,5.0,0.0,510.0,4.0,5.0,227.0,16.0,23.0,,162.0,17.0,11.0,,5.0,166.0,775.0,6.0,3.0,6.0,136.0,11.0,0.9376,2.0,7.0,19.0,34.0,,8.0,3.0,1.0,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171319,Renato Sanches,Midfielder,Swansea,80,Portugal,2017-18,72.0,1.0,0.3819,0.0,3.0,,,12.0,9.0,1.0,54.0,12.0,,9.0,62.0,12.0,379.0,,,2.0,15.0,,,5.0,,703.0,,13.0,59.0,2.0,13.0,57.0,300.0,10.0,,14.7713,6.0,,4.0,10.0,1.0,59.0,98.0,20.0,131.0,8.0,85.0,50.0,12.0,,,5.0,15.0,189.0,8.0,27.0,1.0,116.0,2.0,0.0,370.0,9.0,2.0,145.0,7.0,25.0,1.0,109.0,8.0,7.0,,17.0,87.0,579.0,8.0,2.0,2.0,133.0,3.0,0.4915,1.0,8.0,14.0,24.0,,3.0,4.0,,,,5.0,,,,,,0.2625,4.0,4.0,,11.0,4.0,7.0,1.0,,,,,,,,,,,,,,,,
74033,Sam Clucas,Midfielder,Swansea,80,England,2017-18,91.0,4.0,1.0812,0.0,4.0,7.0,3.846,34.0,16.0,2.0,94.0,29.0,1.0,23.0,129.0,16.0,786.0,3.0,3.0,2.0,73.0,5.0,1.0,12.0,3.0,2042.0,3.0,36.0,89.0,2.0,36.0,52.0,624.0,31.0,2.0,31.7715,14.0,2.0,30.0,30.0,2.0,55.0,232.0,14.0,180.0,24.0,183.0,110.0,29.0,1.0,1.0,15.0,4.0,343.0,28.0,43.0,2.0,107.0,37.0,0.0,768.0,9.0,4.0,233.0,19.0,5.0,7.0,184.0,10.0,29.0,,33.0,187.0,1113.0,20.0,2.0,23.0,326.0,9.0,2.7163,2.0,35.0,32.0,18.0,,6.0,2.0,7.0,,2.0,7.0,,,,,,,,,,24.0,5.0,16.0,,,,,,,,,,,,,,,,,
93464,Tom Carroll,Midfielder,Swansea,80,England,2017-18,108.0,8.0,4.1452,0.0,9.0,3.0,0.6179,53.0,11.0,3.0,185.0,37.0,4.0,28.0,251.0,32.0,1444.0,,1.0,9.0,32.0,6.0,1.0,41.0,2.0,2569.0,2.0,21.0,94.0,6.0,61.0,83.0,1113.0,20.0,3.0,46.021,43.0,3.0,15.0,39.0,,87.0,356.0,17.0,202.0,29.0,499.0,139.0,37.0,1.0,,20.0,5.0,770.0,33.0,88.0,,170.0,11.0,0.0,1389.0,8.0,14.0,407.0,33.0,14.0,8.0,360.0,23.0,29.0,,80.0,229.0,1863.0,1.0,9.0,9.0,464.0,12.0,0.9386,3.0,66.0,52.0,32.0,,9.0,1.0,,,,8.0,2.0,1.0,,,,0.3815,5.0,5.0,,70.0,26.0,37.0,,,,,,,,,,,,,,,,,
11829,Wayne Routledge,Midfielder,Swansea,80,England,2017-18,34.0,4.0,0.7316,0.0,1.0,2.0,0.4283,10.0,4.0,,42.0,15.0,,4.0,50.0,9.0,160.0,,,,14.0,,,4.0,2.0,423.0,2.0,9.0,21.0,1.0,14.0,16.0,109.0,13.0,,9.613,6.0,,4.0,11.0,1.0,25.0,40.0,,55.0,5.0,47.0,28.0,15.0,,,5.0,4.0,76.0,10.0,11.0,1.0,41.0,5.0,0.0,158.0,2.0,1.0,86.0,5.0,6.0,,33.0,9.0,2.0,,1.0,40.0,243.0,1.0,,2.0,38.0,3.0,0.4174,1.0,8.0,17.0,7.0,,11.0,1.0,,,,3.0,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,
