playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,offsides,goalKicks,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goals,awayGoals,successfulCornersIntoBox,rightFootGoals,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,secondGoalAssists,expectedGoalsFreekick,overruns,successfulLayoffs,foulWonPenalty,cornersTakenInclShortCorners,unsuccessfulLayoffs,homeGoals,penaltiesTaken,headedGoals,successfulDribbles,penaltyGoals,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,redCards2ndYellow,lastPlayerTackle,hitWoodwork,otherGoals,clearancesOffTheLine,setPiecesGoals,ownGoalScored,penaltiesSaved,savesFromPenalty
553747,Alexei Rojas,Goalkeeper,Arsenal,3,Colombia,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198869,Ben White,Defender,Arsenal,3,England,2024-25,0.0,0.0,2.0,51.0,3.0,1.4133,4.0,2.0,0.2161,20.0,5.0,1.0,59.0,17.0,2.0,13.0,80.0,14.0,590.0,1.0,4.0,1.0,4.0,27.0,5.0,1.0,3.0,1.0,1198.0,1.0,9.0,43.0,1.0,9.0,25.0,492.0,29.0,16.0,2.0,15.7951,8.0,3.0,38.0,13.0,3.0,42.0,60.0,5.0,0.0,94.0,2.0,216.0,37.0,17.0,1.0,6.0,5.0,295.0,12.0,14.0,11.0,3.0,67.0,18.0,4.0,566.0,3.0,5.0,134.0,14.0,8.0,221.0,10.0,16.0,18.0,93.0,833.0,67.0,3.0,1.0,8.0,218.0,3.0,1.0,0.456,21.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563324,Brayden Clarke,Defender,Arsenal,3,Wales,2024-25,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223340,Bukayo Saka,Forward,Arsenal,3,England,2024-25,0.0,0.0,3.0,123.0,13.0,7.8021,26.0,23.0,7.5618,29.0,41.0,4.0,84.0,25.0,10.0,20.0,94.0,43.0,598.0,7.0,,8.0,5.0,30.0,2.0,2.0,37.0,15.0,1735.0,15.0,20.0,119.0,3.0,43.0,109.0,497.0,181.0,1.0,1.0,18.92,48.0,2.0,6.0,21.0,18.0,103.0,22.0,39.0,2.0,242.0,22.0,108.0,70.0,25.0,2.0,14.0,37.0,456.0,18.0,80.0,77.0,18.0,212.0,10.0,,588.0,18.0,37.0,293.0,15.0,,269.0,15.0,3.0,7.0,199.0,1094.0,11.0,13.0,8.0,7.0,85.0,11.0,,6.8494,10.0,12.0,6.0,1.0,24.0,1.0,4.0,1.0,1.0,34.0,3.0,0.0723,3.0,9.0,1.0,64.0,1.0,5.0,1.0,1.0,41.0,1.0,,,,,,,,,,,,,,,,,,,,,,
154561,David Raya,Goalkeeper,Arsenal,3,Spain,2024-25,0.0,0.0,3.0,3.0,,0.0747,,,,,,,14.0,38.0,,38.0,362.0,,1232.0,,147.0,,,14.0,13.0,,,,3420.0,,,24.0,4.0,,10.0,699.0,,,3.0,36.0631,1.0,68.0,29.0,34.0,,3.0,286.0,10.0,0.0,27.0,,735.0,321.0,38.0,,,,153.0,30.0,,,,13.0,14.0,251.0,937.0,,,374.0,,,211.0,1.0,2.0,171.0,,1599.0,,,,198.0,717.0,1.0,,,348.0,47.0,,,,,,,,,,,,,,,,,,,1.0,,51.0,20.0,8.0,3.0,1.0,8.0,86.0,2.0,2.0,1.0,74.0,25.0,66.0,,,,,,,,,
204480,Declan Rice,Midfielder,Arsenal,3,England,2024-25,0.0,1.0,5.0,116.0,6.0,5.6258,15.0,15.0,3.1123,53.0,33.0,5.0,113.0,35.0,7.0,33.0,150.0,28.0,1476.0,2.0,,7.0,2.0,64.0,7.0,6.0,46.0,5.0,2833.0,5.0,26.0,120.0,4.0,29.0,82.0,1266.0,87.0,,3.0,29.3023,52.0,10.0,50.0,28.0,8.0,90.0,481.0,16.0,1.0,236.0,14.0,364.0,156.0,35.0,6.0,28.0,14.0,863.0,24.0,118.0,46.0,8.0,172.0,38.0,,1402.0,18.0,32.0,358.0,25.0,13.0,367.0,21.0,25.0,60.0,264.0,2016.0,4.0,9.0,7.0,20.0,509.0,11.0,,3.5262,37.0,32.0,4.0,2.0,31.0,4.0,,2.0,2.0,66.0,2.0,0.1823,2.0,28.0,,108.0,2.0,2.0,,,14.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
499175,Ethan Nwaneri,Midfielder,Arsenal,3,England,2024-25,0.0,0.0,1.0,66.0,8.0,1.7867,12.0,9.0,1.725,11.0,12.0,3.0,37.0,26.0,2.0,11.0,40.0,27.0,364.0,6.0,,6.0,15.0,12.0,1.0,1.0,14.0,4.0,889.0,4.0,8.0,57.0,1.0,20.0,53.0,315.0,50.0,,,5.0705,14.0,2.0,4.0,4.0,6.0,58.0,42.0,5.0,0.0,123.0,6.0,58.0,34.0,26.0,1.0,4.0,19.0,278.0,3.0,40.0,36.0,6.0,111.0,4.0,,351.0,3.0,14.0,149.0,7.0,2.0,167.0,9.0,2.0,9.0,97.0,601.0,4.0,10.0,6.0,1.0,60.0,7.0,1.0,1.1896,3.0,5.0,4.0,2.0,7.0,,4.0,1.0,1.0,12.0,,0.1681,7.0,3.0,,27.0,,2.0,,,37.0,,,,,,,,,,,,,,,,,3.0,,,,,,
205651,Gabriel Jesus,Forward,Arsenal,3,Brazil,2024-25,0.0,0.0,4.0,59.0,1.0,0.5225,4.0,8.0,2.6979,10.0,16.0,1.0,36.0,17.0,,6.0,38.0,6.0,190.0,9.0,,,11.0,28.0,1.0,1.0,1.0,4.0,603.0,4.0,19.0,38.0,,21.0,29.0,150.0,53.0,,1.0,7.1525,8.0,,7.0,5.0,4.0,40.0,47.0,10.0,1.0,97.0,9.0,30.0,28.0,17.0,1.0,4.0,10.0,109.0,5.0,6.0,23.0,4.0,69.0,9.0,,190.0,8.0,4.0,85.0,6.0,1.0,47.0,14.0,4.0,2.0,66.0,328.0,3.0,4.0,,1.0,44.0,8.0,1.0,2.9621,2.0,8.0,3.0,3.0,,2.0,,,,,,,2.0,13.0,,,1.0,0.0,,1.0,9.0,,,,,,,,,,,,,,,,,1.0,,,,,,
226597,Gabriel Magalhães,Defender,Arsenal,3,Brazil,2024-25,0.0,0.0,4.0,63.0,,1.2017,7.0,5.0,2.3386,25.0,15.0,1.0,74.0,28.0,1.0,28.0,151.0,9.0,1628.0,,26.0,,,93.0,10.0,,,2.0,2365.0,2.0,38.0,101.0,3.0,21.0,46.0,1420.0,41.0,,2.0,22.1687,12.0,10.0,89.0,22.0,7.0,25.0,749.0,19.0,1.0,164.0,13.0,502.0,63.0,28.0,,10.0,1.0,658.0,19.0,9.0,3.0,7.0,71.0,55.0,26.0,1551.0,10.0,2.0,173.0,15.0,29.0,267.0,19.0,16.0,57.0,110.0,1911.0,3.0,3.0,,38.0,819.0,8.0,,2.621,77.0,38.0,3.0,3.0,,,,,,,,,,1.0,1.0,,,0.0,,3.0,4.0,,,,,,,,,,,,,,,,2.0,1.0,,,,,,
444145,Gabriel Martinelli,Forward,Arsenal,3,Brazil,2024-25,0.0,0.0,1.0,168.0,21.0,4.6564,15.0,25.0,8.6558,23.0,40.0,5.0,119.0,33.0,4.0,25.0,124.0,68.0,590.0,8.0,,3.0,8.0,56.0,3.0,1.0,22.0,16.0,2300.0,16.0,39.0,94.0,2.0,52.0,77.0,456.0,195.0,1.0,3.0,26.4885,36.0,,16.0,25.0,12.0,129.0,198.0,21.0,1.0,262.0,15.0,119.0,78.0,33.0,1.0,8.0,60.0,392.0,23.0,70.0,98.0,12.0,206.0,17.0,,590.0,15.0,45.0,355.0,15.0,,86.0,16.0,5.0,10.0,187.0,1083.0,11.0,15.0,3.0,3.0,96.0,7.0,1.0,7.5861,5.0,21.0,8.0,5.0,1.0,6.0,1.0,,,2.0,,,7.0,5.0,,3.0,1.0,3.0,,1.0,33.0,,,,,,,,,,,,,,,,,,,,,,,
