playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,substituteOn,penaltiesFaced,timePlayed,duelsWon,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,goalsConceded,groundDuelsLost,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,overruns,totalTackles,starts,aerialDuels,cleanSheets,aerialDuelsLost,goalsConcededOutsideBox,punches,totalClearances,rightsidePasses,crossesNotClaimed,lastPlayerTackle,aerialDuelsWon,cornersWon,tacklesWon,successfulDribbles,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,totalShots,throughBalls,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,awayGoals,successfulCrossesAndCorners,totalTouchesInOppositionBox,throwInsToOppositionPlayer,homeGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,blocks,interceptions,backwardPasses,throwInsToOwnPlayer,substituteOff,goalAssists,cornersTakenInclShortCorners,handballsConceded,ownGoalScored,headedGoals,attemptsFromSetPieces,hitWoodwork,unsuccessfulCornersIntoBox,rightFootGoals,redCards2ndYellow,clearancesOffTheLine,secondGoalAssists,setPiecesGoals,unsuccessfulLayoffs,successfulCornersIntoBox,penaltiesTaken,penaltyGoals,foulWonPenalty
9047,Glen Johnson,Defender,Stoke City,110,England,2011-12,97.0,,0.0,,,143.0,23.0,175.0,1089.0,,,1.0,,1952.0,117.0,,98.0,854.0,,1.0,22.0,2.0,18.0,85.0,,23.0,2.0,214.0,395.0,134.0,23.0,,445.0,17.0,183.0,0.0,,1072.0,356.0,,,431.0,14.0,60.0,1719.0,21.0,481.0,,2.0,32.0,52.0,10.0,43.0,22.0,31.0,9.0,12.0,1.0,,43.0,101.0,,,19.0,22.0,32.0,32.0,12.0,5.0,8.0,17.0,5.0,17.0,53.0,1.0,1.0,1.0,12.0,33.0,22.0,0.0,11.0,1.0,39.0,53.0,60.0,9.0,8.0,43.0,162.0,174.0,1.0,,,,,,,,,,,,,,,,,,
26725,José Enrique,Defender,Liverpool PL2,7139,Spain,2011-12,116.0,,0.0,,,258.0,35.0,353.0,1824.0,,,2.0,,2992.0,156.0,,147.0,1377.0,,3.0,34.0,14.0,35.0,109.0,,27.0,0.0,272.0,929.0,270.0,35.0,,870.0,33.0,256.0,0.0,1.0,1765.0,623.0,,,100.0,15.0,94.0,2702.0,62.0,630.0,,2.0,95.0,95.0,6.0,69.0,33.0,16.0,11.0,7.0,2.0,,46.0,623.0,,1.0,9.0,22.0,56.0,51.0,29.0,2.0,3.0,11.0,6.0,3.0,108.0,,,,29.0,26.0,24.0,,13.0,,28.0,109.0,83.0,8.0,5.0,31.0,172.0,286.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
21094,Daniel Agger,Defender,Liverpool,14,Denmark,2011-12,54.0,,0.0,,,125.0,27.0,163.0,1049.0,,,3.0,,2141.0,110.0,,66.0,815.0,,3.0,6.0,14.0,21.0,29.0,,23.0,0.0,164.0,485.0,109.0,27.0,,243.0,19.0,95.0,0.0,,1032.0,185.0,,,220.0,17.0,71.0,1366.0,46.0,645.0,,6.0,38.0,72.0,,32.0,24.0,69.0,8.0,25.0,2.0,,98.0,283.0,,,44.0,4.0,21.0,11.0,2.0,6.0,6.0,27.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,36.0,3.0,1.0,11.0,,2.0,4.0,5.0,21.0,14.0,59.0,61.0,7.0,2.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,
3665,Fábio Aurélio,Defender,Liverpool,14,Brazil,2011-12,2.0,,0.0,,,4.0,2.0,7.0,47.0,,,1.0,,67.0,1.0,,1.0,39.0,,,3.0,,1.0,1.0,,,0.0,3.0,20.0,1.0,2.0,,25.0,1.0,2.0,0.0,,47.0,14.0,,,3.0,1.0,1.0,66.0,,18.0,,0.0,3.0,1.0,,,1.0,1.0,,1.0,,,2.0,18.0,,,,,,1.0,2.0,,,,,2.0,5.0,,,,3.0,,,,,,,6.0,,,,1.0,6.0,4.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,
78108,Sebastián Coates,Defender,Sporting CP,255,Uruguay,2011-12,16.0,,0.0,,,26.0,7.0,39.0,220.0,,,3.0,,484.0,28.0,,19.0,156.0,,1.0,3.0,4.0,10.0,9.0,,1.0,0.0,44.0,94.0,19.0,7.0,,46.0,10.0,28.0,0.0,,217.0,45.0,,,58.0,4.0,25.0,281.0,7.0,136.0,,1.0,13.0,16.0,,14.0,4.0,16.0,1.0,7.0,,,18.0,55.0,,,9.0,1.0,8.0,4.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,4.0,,0.0,6.0,,,1.0,3.0,,4.0,4.0,13.0,,,,,,,,,,,1.0,,,,,,,,,
1809,Jamie Carragher,Defender,Liverpool,14,England,2011-12,18.0,,0.0,,,95.0,21.0,153.0,788.0,,,2.0,,1725.0,47.0,1.0,33.0,551.0,,2.0,1.0,21.0,22.0,9.0,,9.0,0.0,65.0,365.0,66.0,21.0,,143.0,21.0,42.0,0.0,,773.0,164.0,,,242.0,6.0,84.0,975.0,71.0,492.0,,1.0,58.0,46.0,1.0,23.0,19.0,23.0,5.0,9.0,1.0,,104.0,93.0,,1.0,14.0,,17.0,1.0,,,,,,2.0,1.0,,,,,,1.0,,6.0,,,1.0,3.0,,10.0,14.0,88.0,4.0,,,,1.0,,,,,,,,,,,,,,,
58786,Martin Kelly,Defender,Salford City,3448,England,2011-12,47.0,,0.0,,,64.0,12.0,73.0,356.0,,,,,964.0,56.0,,48.0,275.0,,,7.0,9.0,7.0,38.0,,3.0,0.0,103.0,131.0,38.0,12.0,,163.0,7.0,86.0,0.0,,353.0,156.0,,,129.0,13.0,8.0,677.0,11.0,124.0,,1.0,9.0,30.0,2.0,42.0,12.0,17.0,4.0,9.0,,,32.0,16.0,,,8.0,6.0,30.0,3.0,4.0,,3.0,8.0,1.0,7.0,34.0,,,,4.0,11.0,21.0,,12.0,,7.0,34.0,14.0,5.0,7.0,11.0,80.0,113.0,2.0,,,,,,,1.0,,,,,,,,,,,
26793,Martin Skrtel,Defender,Istanbul Basaksehir,2133,Slovakia,2011-12,71.0,,1.0,,,179.0,34.0,251.0,1503.0,,,1.0,,2994.0,156.0,2.0,78.0,1111.0,,4.0,9.0,20.0,35.0,52.0,,19.0,2.0,227.0,594.0,164.0,34.0,,272.0,33.0,130.0,0.0,,1480.0,274.0,,,458.0,42.0,141.0,1950.0,61.0,982.0,,2.0,72.0,83.0,1.0,57.0,33.0,97.0,10.0,19.0,2.0,,176.0,307.0,,2.0,78.0,9.0,43.0,2.0,2.0,9.0,6.0,20.0,,4.0,3.0,2.0,1.0,1.0,2.0,49.0,5.0,1.0,14.0,,,3.0,4.0,14.0,29.0,49.0,144.0,33.0,1.0,1.0,,,1.0,2.0,,1.0,,,1.0,2.0,1.0,,,,,,
91979,Jon Flanagan,Defender,Rangers,67,England,2011-12,34.0,,0.0,,,26.0,5.0,36.0,198.0,,,,,386.0,20.0,,16.0,158.0,,1.0,2.0,1.0,6.0,26.0,,6.0,0.0,54.0,84.0,31.0,5.0,,84.0,6.0,42.0,0.0,,194.0,69.0,,,63.0,9.0,4.0,315.0,5.0,80.0,,2.0,10.0,11.0,,8.0,5.0,12.0,,8.0,,,9.0,10.0,,,4.0,,6.0,2.0,2.0,,,,,,4.0,,,,2.0,1.0,9.0,,2.0,,3.0,4.0,13.0,,1.0,6.0,41.0,45.0,1.0,,,,,,,,,,,,,,,,,,
83427,Jack Robinson,Defender,Birmingham City,41,England,2011-12,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
