playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,goalAssists,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,penaltyGoalsConceded,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,homeGoals,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,fiftyFifty,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,successfulFiftyFifty,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,unsuccessfulLayoffs,totalTouchesInOppositionBox,throwInsToOppositionPlayer,ownGoalScored,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,rightFootGoals,tacklesLost,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,successfulLayoffs,headedGoals,expectedGoalsFreekick,cornersTakenInclShortCorners,freekickTotal,attemptsFromSetPieces,secondGoalAssists,throughBalls,successfulCornersIntoBox,unsuccessfulCornersIntoBox,shotsOnTargetOutsideBox,oboxTarget,leftFootGoals,foulWonPenalty,setPiecesGoals,penaltiesTaken,penaltyGoals
49944,Jake Livermore,Midfielder,Watford,57,England,2020-21,73.0,,0.1795,1.0,,,81.0,18.0,,15.0,111.0,383.0,0.0,,,29.0,1.0,,1247.0,17.0,54.0,4.0,,24.0,42.0,255.0,,,2.0,27.5093,4.0,24.0,33.0,56.0,112.0,,7.0,0.0,127.0,0.0,141.0,73.0,18.0,,,123.0,29.0,98.0,12.0,1.0,,381.0,140.0,,,84.0,30.0,16.0,17.0,551.0,15.0,150.0,,2.0,30.0,28.0,1.0,49.0,2.0,,,,33.0,3.0,23.0,4.0,,,,3.0,1.0,,,,9.0,,1.0,5.0,2.0,15.0,,15.0,3.0,4.0,10.0,2.0,3.0,2.0,18.0,2.0,6.0,,46.0,,6.0,1.0,,22.0,1.0,0.3314,,,,,,,,1.0,,,,,,,,,
50229,Matt Phillips,Midfielder,Stevenage,288,Scotland,2020-21,135.0,,2.52,0.0,,,106.0,33.0,1.0,20.0,123.0,478.0,1.0,,,52.0,1.0,,1827.0,36.0,62.0,5.0,,46.0,46.0,342.0,,,2.0,37.2051,2.0,25.0,42.0,99.0,136.0,,7.0,0.0,197.0,1.0,158.0,107.0,33.0,,,240.0,37.0,145.0,16.0,0.0,,474.0,292.0,,,67.0,29.0,10.0,13.0,869.0,6.0,136.0,,1.0,17.0,31.0,14.0,47.0,6.0,10.0,4.0,2.8493,15.0,16.0,20.0,36.0,2.0,8.0,2.0,13.0,21.0,3.0,3.0,1.0,45.0,2.0,,25.0,4.0,28.0,2.0,7.0,32.0,51.0,57.0,4.0,6.0,9.0,8.0,24.0,4.0,1.0,117.0,8.0,11.0,2.0,2.0,12.0,2.0,2.7704,2.0,,0.0494,17.0,1.0,1.0,,,5.0,9.0,5.0,5.0,,,,,
179830,Grady Diangana,Midfielder,West Bromwich Albion,35,DR Congo,2020-21,129.0,,0.2498,0.0,,,74.0,20.0,,15.0,80.0,336.0,1.0,,,56.0,1.0,,1237.0,33.0,117.0,8.0,,28.0,94.0,251.0,,,4.0,29.7971,,7.0,33.0,96.0,86.0,,35.0,0.0,246.0,0.0,89.0,69.0,20.0,,,168.0,25.0,190.0,23.0,0.0,,331.0,217.0,,,59.0,11.0,16.0,5.0,677.0,2.0,90.0,,0.0,6.0,19.0,1.0,55.0,3.0,4.0,3.0,0.8434,35.0,11.0,28.0,15.0,1.0,4.0,2.0,5.0,2.0,3.0,3.0,2.0,31.0,,,5.0,1.0,14.0,,16.0,24.0,18.0,62.0,1.0,7.0,10.0,19.0,25.0,2.0,,102.0,2.0,9.0,,2.0,8.0,1.0,1.0719,9.0,,,4.0,,,1.0,1.0,1.0,2.0,,,1.0,,,,
49957,Kamil Grosicki,Midfielder,West Bromwich Albion U23,7595,Poland,2020-21,11.0,,0.0739,0.0,,,7.0,3.0,1.0,2.0,10.0,40.0,0.0,,,2.0,,,149.0,2.0,2.0,,,2.0,2.0,28.0,,,,4.1215,1.0,1.0,5.0,9.0,7.0,,,0.0,13.0,0.0,14.0,6.0,3.0,,,22.0,5.0,11.0,,0.0,,40.0,19.0,,,1.0,1.0,2.0,2.0,61.0,1.0,8.0,,0.0,3.0,1.0,,3.0,1.0,,,,2.0,2.0,,3.0,,,1.0,1.0,,,,,2.0,,,2.0,,1.0,,1.0,1.0,5.0,2.0,,2.0,1.0,1.0,,,,18.0,,2.0,,1.0,,,0.1198,,,,2.0,,,,,,2.0,,,,,,,
232787,Conor Gallagher,Midfielder,Tottenham Hotspur,6,England,2020-21,204.0,,1.8127,0.0,,,121.0,30.0,2.0,28.0,165.0,890.0,0.0,,,59.0,5.0,,2531.0,36.0,196.0,8.0,,59.0,173.0,677.0,,,5.0,47.3395,6.0,27.0,48.0,168.0,226.0,,63.0,1.0,400.0,2.0,251.0,185.0,30.0,,,424.0,40.0,341.0,23.0,0.0,,859.0,353.0,,,216.0,43.0,27.0,48.0,1459.0,26.0,312.0,,11.0,44.0,45.0,5.0,121.0,9.0,7.0,7.0,1.559,81.0,20.0,43.0,33.0,2.0,,4.0,2.0,11.0,2.0,2.0,,38.0,,,18.0,5.0,39.0,2.0,40.0,25.0,55.0,61.0,5.0,13.0,8.0,41.0,30.0,8.0,,197.0,1.0,3.0,2.0,4.0,31.0,3.0,1.5261,8.0,,,27.0,,,,1.0,4.0,18.0,3.0,3.0,,,,,
61600,Romaine Sawyers,Midfielder,Bristol Rovers,96,St Kitts & Nevis,2020-21,75.0,,0.3586,0.0,,,78.0,19.0,,17.0,106.0,720.0,0.0,,,18.0,1.0,,1490.0,5.0,65.0,7.0,,28.0,52.0,573.0,,,2.0,36.811,1.0,10.0,42.0,70.0,159.0,,14.0,0.0,140.0,0.0,244.0,127.0,19.0,,,295.0,35.0,122.0,13.0,0.0,,677.0,153.0,,,203.0,18.0,18.0,41.0,909.0,9.0,320.0,,2.0,28.0,39.0,1.0,47.0,1.0,,3.0,,30.0,3.0,18.0,2.0,,,1.0,2.0,1.0,,,,1.0,,1.0,6.0,,16.0,,12.0,13.0,2.0,23.0,,3.0,1.0,18.0,8.0,4.0,,114.0,1.0,5.0,,1.0,12.0,,0.1232,4.0,,,,,,,1.0,,,,,,,,,
18987,Robert Snodgrass,Midfielder,Luton Town,102,Scotland,2020-21,35.0,,0.4814,0.0,,,26.0,11.0,,6.0,28.0,136.0,0.0,,,22.0,,,531.0,13.0,44.0,1.0,,9.0,35.0,104.0,,,,8.8652,,12.0,14.0,22.0,17.0,,14.0,0.0,79.0,0.0,46.0,38.0,11.0,,,70.0,13.0,57.0,9.0,0.0,,134.0,50.0,,,38.0,8.0,1.0,4.0,244.0,,41.0,,2.0,2.0,5.0,3.0,19.0,3.0,1.0,,0.0918,17.0,1.0,12.0,5.0,,1.0,1.0,5.0,3.0,1.0,1.0,,10.0,,,3.0,2.0,9.0,,5.0,4.0,5.0,8.0,2.0,,1.0,12.0,4.0,2.0,,35.0,,3.0,,1.0,7.0,,0.2463,2.0,,0.0567,,1.0,1.0,,,,,,,,,,,
154043,Ainsley Maitland-Niles,Midfielder,Lyon,143,England,2020-21,113.0,,1.276,0.0,,,112.0,26.0,,19.0,144.0,648.0,0.0,,,30.0,5.0,,1719.0,22.0,80.0,1.0,,40.0,72.0,478.0,,,3.0,19.6424,1.0,27.0,23.0,91.0,174.0,,17.0,0.0,193.0,0.0,223.0,116.0,26.0,,,278.0,22.0,163.0,8.0,0.0,,628.0,269.0,,,133.0,16.0,31.0,26.0,1021.0,23.0,230.0,,2.0,32.0,48.0,4.0,61.0,3.0,4.0,7.0,0.7255,33.0,9.0,28.0,15.0,,2.0,3.0,7.0,4.0,2.0,2.0,1.0,34.0,4.0,,6.0,,21.0,,17.0,21.0,16.0,52.0,,5.0,6.0,16.0,22.0,3.0,,118.0,31.0,5.0,,3.0,7.0,,0.5764,9.0,,,2.0,,,,,,1.0,1.0,1.0,,2.0,,,
101394,Okay Yokuslu,Midfielder,Trabzonspor,383,Turkey,2020-21,83.0,,0.7752,0.0,,,80.0,16.0,1.0,15.0,93.0,529.0,0.0,,,69.0,4.0,,1319.0,27.0,126.0,3.0,2.0,23.0,84.0,407.0,,,3.0,21.3144,,32.0,20.0,56.0,126.0,,28.0,0.0,209.0,0.0,198.0,124.0,16.0,,,214.0,17.0,140.0,42.0,0.0,,516.0,135.0,,,145.0,25.0,35.0,29.0,787.0,7.0,222.0,,4.0,13.0,37.0,,76.0,3.0,,,,38.0,9.0,49.0,2.0,,1.0,2.0,1.0,,,,,11.0,,,5.0,1.0,12.0,,13.0,6.0,2.0,15.0,1.0,9.0,2.0,25.0,19.0,3.0,,60.0,2.0,3.0,,2.0,14.0,2.0,0.8676,5.0,,0.0589,,1.0,1.0,,,,,,,,,,,
444575,Toby King,Midfielder,West Bromwich Albion U23,7595,England,2020-21,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
