playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,tacklesLost,tacklesWon,successfulDribbles,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,unsuccessfulCrossesOpenPlay,substituteOn,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,keyPassesAttemptAssists,shotsBlockedInBox,putthroughBlockedDistributionWon,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,iboxBlocked,cornersWon,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,expectedGoals,throughBalls,successfulLayoffs,penaltyGoalsConceded,shotsOffTargetIncWoodwork,attemptsFromSetPieces,goalAssists,goals,offsides,oboxBlocked,headedGoals,shotsBlockedOutsideBox,unsuccessfulLayoffs,expectedGoalsFreekick,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,successfulCornersIntoBox,oboxTarget,freekickTotal,unsuccessfulCornersIntoBox,leftFootGoals,rightFootGoals,clearancesOffTheLine,hitWoodwork,handballsConceded,foulWonPenalty,penaltiesTaken,penaltyGoals
104542,Loris Karius,Goalkeeper,Newcastle United,4,Germany,2017-18,4.0,1.0,0.0129,0.0,9.0,10.0,2.0,19.0,19.0,171.0,521.0,3.0,9.0,10.0,3.0,1710.0,1.0,10.0,1.0,2.0,1.0,2.0,273.0,1.0,11.0,13.3598,45.0,15.0,14.0,3.0,77.0,31.0,3.0,14.0,6.0,352.0,170.0,19.0,1.0,2.0,36.0,13.0,5.0,8.0,0.0,166.0,363.0,176.0,43.0,10.0,92.0,2.0,1.0,77.0,698.0,107.0,314.0,2.0,21.0,1.0,169.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66797,Simon Mignolet,Goalkeeper,Club Brugge,413,Belgium,2017-18,4.0,1.0,0.0143,0.0,14.0,15.0,1.0,19.0,19.0,152.0,498.0,6.0,4.0,7.0,3.0,1710.0,,9.0,2.0,1.0,1.0,5.0,264.0,1.0,8.0,23.1926,36.0,13.0,24.0,4.0,85.0,36.0,2.0,13.0,3.0,323.0,177.0,19.0,1.0,1.0,43.0,22.0,9.0,4.0,0.0,177.0,338.0,154.0,26.0,11.0,90.0,2.0,,82.0,677.0,111.0,303.0,2.0,20.0,3.0,151.0,25.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95463,Danny Ward,Goalkeeper,Wrexham,109,Wales,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57328,Nathaniel Clyne,Defender,Crystal Palace,31,England,2017-18,12.0,,0.1035,0.0,,,19.0,3.0,2.0,21.0,104.0,,6.0,1.0,,174.0,3.0,6.0,,,6.0,3.0,78.0,,,0.6431,1.0,3.0,1.0,9.0,3.0,,,18.0,,30.0,10.0,3.0,,,47.0,1.0,12.0,3.0,0.0,,104.0,41.0,,,39.0,4.0,,5.0,161.0,1.0,37.0,3.0,,1.0,2.0,6.0,3.0,2.0,1.0,,1.0,1.0,1.0,0.1118,1.0,6.0,1.0,1.0,1.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,6.0,1.0,3.0,1.0,32.0,24.0,1.0,0.1261,,,,,,,,,,,,,,,,,,,,,,,,,,,
97032,Virgil van Dijk,Defender,Liverpool,14,Netherlands,2017-18,72.0,,1.3085,0.0,,,107.0,26.0,25.0,206.0,1770.0,,190.0,8.0,,2253.0,51.0,188.0,7.0,2.0,10.0,49.0,1458.0,,,13.0607,6.0,157.0,28.0,21.0,680.0,,21.0,260.0,,555.0,140.0,26.0,,,552.0,21.0,70.0,139.0,0.0,,1733.0,222.0,,,468.0,14.0,47.0,106.0,2118.0,37.0,1012.0,8.0,,1.0,99.0,52.0,25.0,10.0,15.0,5.0,,5.0,6.0,,22.0,1.0,1.0,,,,40.0,,8.0,2.0,7.0,1.0,1.0,2.0,2.0,15.0,67.0,3.0,,0.9306,3.0,2.0,2.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,
38454,Dejan Lovren,Defender,PAOK Salonika,237,Croatia,2017-18,85.0,,0.544,0.0,,,111.0,29.0,24.0,208.0,1803.0,,164.0,10.0,,2125.0,60.0,136.0,2.0,1.0,16.0,32.0,1504.0,,,23.0308,24.0,142.0,24.0,25.0,481.0,,6.0,221.0,,627.0,107.0,29.0,,,499.0,22.0,57.0,104.0,0.0,,1765.0,220.0,,,582.0,15.0,38.0,91.0,2089.0,48.0,1098.0,9.0,,4.0,97.0,66.0,26.0,9.0,17.0,,2.0,4.0,4.0,0.7785,10.0,2.0,5.0,2.0,2.0,2.0,23.0,,5.0,3.0,11.0,1.0,2.0,3.0,2.0,15.0,113.0,5.0,2.0,1.3587,,,,6.0,,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
171287,Joe Gomez,Defender,Liverpool,14,England,2017-18,80.0,,1.4469,0.0,,,149.0,23.0,21.0,207.0,1337.0,,64.0,9.0,,1901.0,31.0,124.0,1.0,,30.0,91.0,1081.0,,,19.7878,4.0,48.0,21.0,49.0,84.0,,10.0,204.0,,499.0,144.0,23.0,,,570.0,20.0,140.0,33.0,0.0,,1323.0,344.0,,,565.0,15.0,34.0,49.0,1882.0,19.0,570.0,7.0,,3.0,58.0,52.0,58.0,13.0,45.0,23.0,10.0,2.0,,,3.0,35.0,2.0,10.0,,,10.0,66.0,15.0,1.0,11.0,3.0,35.0,1.0,6.0,8.0,189.0,175.0,,0.2655,,2.0,,3.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
33871,Ragnar Klavan,Defender,Cagliari,124,Estonia,2017-18,55.0,,0.5549,0.0,,,67.0,19.0,16.0,112.0,1198.0,,79.0,8.0,,1449.0,40.0,67.0,2.0,,10.0,28.0,1034.0,,,13.8683,2.0,82.0,15.0,15.0,503.0,,12.0,122.0,,361.0,96.0,19.0,,,342.0,13.0,43.0,39.0,0.0,,1179.0,132.0,,,289.0,7.0,15.0,52.0,1379.0,16.0,744.0,2.0,,0.0,45.0,40.0,14.0,4.0,10.0,4.0,,,1.0,0.9785,1.0,1.0,3.0,,,,6.0,5.0,4.0,,6.0,1.0,1.0,,1.0,5.0,45.0,11.0,,0.8728,1.0,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,
100059,Alberto Moreno,Defender,Como,1065,Spain,2017-18,48.0,,1.3894,0.0,,,77.0,16.0,14.0,123.0,783.0,,27.0,6.0,,1264.0,17.0,69.0,1.0,,34.0,59.0,625.0,,,17.5059,4.0,39.0,19.0,31.0,339.0,,19.0,117.0,,270.0,69.0,16.0,,,329.0,18.0,90.0,10.0,0.0,,766.0,195.0,,,29.0,8.0,12.0,35.0,1138.0,21.0,341.0,6.0,,1.0,46.0,32.0,35.0,9.0,26.0,6.0,9.0,7.0,2.0,0.5417,5.0,38.0,2.0,10.0,,,16.0,15.0,15.0,,17.0,3.0,41.0,,12.0,2.0,145.0,114.0,,0.5006,1.0,3.0,,3.0,1.0,,,,7.0,,7.0,1.0,0.0763,3.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,
122798,Andy Robertson,Defender,Liverpool,14,Scotland,2017-18,58.0,,3.4241,0.0,,,127.0,22.0,22.0,184.0,1421.0,,25.0,9.0,,1943.0,10.0,59.0,2.0,,62.0,44.0,1196.0,,,16.8125,9.0,49.0,18.0,48.0,641.0,,4.0,117.0,,467.0,140.0,22.0,,,774.0,16.0,92.0,15.0,0.0,,1409.0,327.0,,,43.0,15.0,26.0,41.0,1905.0,28.0,474.0,9.0,,2.0,57.0,46.0,31.0,14.0,17.0,9.0,11.0,3.0,2.0,0.276,9.0,77.0,,11.0,,,47.0,14.0,19.0,3.0,20.0,8.0,77.0,3.0,14.0,2.0,270.0,156.0,3.0,0.5092,3.0,4.0,,7.0,,5.0,1.0,5.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,
