playerId,playerName,position,team,nationality,season,expectedAssists,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,awayGoals,savesMadeCaught,aerialDuels,cleanSheets,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,successfulShortPasses,punches,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,rightsidePasses,savesMade,winningGoal,duels,homeGoals,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,duelsLost,aerialDuelsLost,fiftyFifty,totalTackles,successfulFiftyFifty,penaltiesFaced,groundDuelsWon,penaltyGoalsConceded,groundDuelsLost,totalFoulsWon,tacklesLost,groundDuels,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,offsides,oboxBlocked,substituteOn,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,totalTouchesInOppositionBox,throwInsToOppositionPlayer,shotsBlockedInBox,putthroughBlockedDistributionWon,oboxTarget,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,clearancesOffTheLine,backwardPasses,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,foulAttemptedTackle,handballsConceded,expectedGoals,cornersTakenInclShortCorners,unsuccessfulCornersIntoBox,foulWonPenalty,headedGoals,penaltiesConceded,ownGoalScored,redCards2ndYellow,leftFootGoals,setPiecesGoals,successfulCornersIntoBox,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,unsuccessfulLayoffs,overruns
58376,Alex McCarthy,Goalkeeper,Southampton,England,2021-22,0.0149,0.0,21.0,17.0,2.0,17.0,17.0,187.0,430.0,0.0,1.0,6.0,5.0,1530.0,6.0,1.0,2.0,162.0,8.0,21.7088,1.0,21.0,12.0,27.0,59.0,44.0,0.0,6.0,0.0,1.0,293.0,122.0,17.0,1.0,1.0,59.0,26.0,6.0,0.0,137.0,245.0,190.0,66.0,13.0,78.0,81.0,588.0,84.0,184.0,27.0,1.0,185.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20310,Willy Caballero,Goalkeeper,Southampton,Argentina,2021-22,0.0041,0.0,1.0,,,2.0,2.0,23.0,60.0,0.0,,1.0,,180.0,,,,18.0,1.0,3.3707,,5.0,3.0,5.0,3.0,6.0,0.0,1.0,0.0,,43.0,7.0,2.0,,,15.0,5.0,,0.0,6.0,39.0,23.0,7.0,2.0,14.0,19.0,70.0,12.0,22.0,6.0,1.0,23.0,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198044,Harry Lewis,Goalkeeper,Mansfield Town,England,2021-22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40383,Fraser Forster,Goalkeeper,Bournemouth,England,2021-22,0.0226,0.0,16.0,14.0,4.0,19.0,19.0,240.0,530.0,0.0,,7.0,3.0,1710.0,11.0,4.0,1.0,169.0,12.0,33.6628,,40.0,35.0,35.0,59.0,68.0,0.0,12.0,0.0,2.0,358.0,136.0,19.0,3.0,,91.0,31.0,7.0,0.0,146.0,285.0,243.0,65.0,20.0,113.0,121.0,733.0,104.0,199.0,54.0,1.0,236.0,32.0,1.0,,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158534,Kyle Walker-Peters,Defender,West Ham United,England,2021-22,3.3746,0.0,,,160.0,32.0,29.0,203.0,1088.0,0.0,,55.0,6.0,2632.0,195.0,4.0,63.0,844.0,,43.4095,22.0,9.0,42.0,49.0,283.0,,0.0,334.0,1.0,,402.0,187.0,32.0,,,565.0,45.0,27.0,0.0,,1075.0,416.0,,,162.0,41.0,1862.0,25.0,326.0,,5.0,43.0,60.0,139.0,28.0,64.0,57.0,34.0,,168.0,1.0,111.0,47.0,24.0,279.0,6.0,11.0,7.0,1.1735,15.0,2.0,2.0,1.0,44.0,1.0,3.0,3.0,3.0,1.0,6.0,5.0,5.0,81.0,47.0,8.0,21.0,1.0,1.0,31.0,44.0,74.0,8.0,8.0,22.0,33.0,64.0,8.0,27.0,37.0,1.0,241.0,180.0,2.0,1.0,3.0,12.0,2.0,1.0809,,,,,,,,,,,,,,,,,
212721,Lyanco,Defender,Southampton,Brazil,2021-22,0.0816,0.0,,,37.0,15.0,9.0,108.0,389.0,0.0,,33.0,1.0,906.0,48.0,1.0,10.0,260.0,,17.7696,3.0,4.0,48.0,20.0,60.0,,0.0,85.0,0.0,,179.0,73.0,15.0,,,85.0,19.0,19.0,0.0,1.0,378.0,123.0,,,118.0,21.0,548.0,24.0,196.0,,2.0,71.0,34.0,37.0,14.0,14.0,18.0,7.0,,29.0,1.0,23.0,7.0,3.0,52.0,,3.0,1.0,0.0709,3.0,,,,4.0,,,2.0,6.0,,,1.0,1.0,4.0,1.0,1.0,5.0,,,,4.0,2.0,1.0,2.0,2.0,15.0,4.0,13.0,13.0,13.0,,32.0,1.0,,,2.0,6.0,,0.2675,,,,,,,,,,,,,,,,,
88900,Jack Stephens,Defender,Southampton U21,England,2021-22,0.1757,0.0,,,45.0,11.0,9.0,105.0,464.0,0.0,,25.0,1.0,811.0,36.0,,11.0,331.0,,15.0946,4.0,4.0,41.0,19.0,76.0,,0.0,66.0,0.0,,193.0,68.0,11.0,,,115.0,19.0,13.0,0.0,,451.0,116.0,,,165.0,28.0,582.0,26.0,244.0,,3.0,60.0,32.0,30.0,12.0,21.0,19.0,11.0,,23.0,,18.0,2.0,7.0,41.0,,,,,,,,,,,,,2.0,,,,,3.0,6.0,,5.0,,,,,1.0,,,1.0,12.0,2.0,7.0,8.0,19.0,,30.0,2.0,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,
244560,Romain Perraud,Defender,Lille,France,2021-22,0.5082,0.0,,,93.0,20.0,18.0,157.0,534.0,0.0,,40.0,3.0,1625.0,74.0,4.0,56.0,366.0,,31.5942,7.0,5.0,38.0,33.0,170.0,,0.0,160.0,0.0,,228.0,77.0,20.0,,,258.0,29.0,16.0,0.0,,525.0,326.0,,,28.0,11.0,995.0,37.0,125.0,,3.0,64.0,55.0,86.0,24.0,45.0,34.0,19.0,,58.0,2.0,62.0,16.0,12.0,120.0,6.0,5.0,3.0,1.0085,14.0,1.0,1.0,,61.0,,,2.0,2.0,,6.0,3.0,3.0,26.0,47.0,3.0,18.0,,,10.0,63.0,19.0,3.0,11.0,25.0,22.0,8.0,6.0,31.0,17.0,1.0,108.0,95.0,4.0,2.0,2.0,15.0,1.0,0.5475,3.0,2.0,,,,,,,,,,,,,,,
491551,Thierry Small,Defender,Preston North End,England,2021-22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441191,Tino Livramento,Defender,Newcastle United,England,2021-22,2.6523,0.0,,,145.0,28.0,25.0,194.0,906.0,0.0,,49.0,6.0,2203.0,144.0,2.0,40.0,685.0,,32.2794,19.0,7.0,47.0,42.0,40.0,,0.0,243.0,1.0,,320.0,176.0,28.0,,,421.0,40.0,24.0,0.0,,890.0,408.0,,,348.0,27.0,1588.0,27.0,303.0,,2.0,49.0,66.0,99.0,25.0,82.0,54.0,47.0,,120.0,,74.0,36.0,26.0,194.0,12.0,3.0,3.0,1.0226,9.0,2.0,1.0,1.0,50.0,1.0,1.0,1.0,3.0,,12.0,2.0,2.0,48.0,57.0,2.0,14.0,,,25.0,50.0,44.0,2.0,6.0,14.0,28.0,30.0,9.0,12.0,47.0,,198.0,140.0,3.0,2.0,1.0,10.0,,1.4421,,,1.0,1.0,,,,,,,,,,,,,
450527,Mohammed Salisu,Defender,Monaco,Ghana,2021-22,0.7236,1.0,,,224.0,34.0,33.0,385.0,1742.0,0.0,,162.0,6.0,2972.0,201.0,4.0,45.0,1267.0,,47.315,9.0,22.0,150.0,57.0,494.0,,0.0,336.0,0.0,,874.0,244.0,34.0,,,574.0,53.0,101.0,0.0,4.0,1694.0,494.0,,,225.0,90.0,2347.0,68.0,785.0,,8.0,161.0,157.0,135.0,61.0,84.0,80.0,56.0,,100.0,1.0,74.0,7.0,33.0,174.0,2.0,5.0,10.0,1.2935,19.0,,,,11.0,,2.0,,1.0,1.0,2.0,9.0,9.0,34.0,65.0,5.0,23.0,1.0,,3.0,11.0,13.0,5.0,9.0,6.0,47.0,13.0,26.0,38.0,78.0,2.0,149.0,29.0,,,,19.0,1.0,1.9957,,,,,1.0,1.0,1.0,,,,,,,,,,
171771,Jan Bednarek,Defender,FC Porto,Poland,2021-22,0.7247,0.0,,,136.0,31.0,30.0,265.0,1445.0,1.0,,130.0,7.0,2631.0,139.0,5.0,26.0,1093.0,,45.9738,6.0,22.0,139.0,52.0,308.0,,2.0,224.0,3.0,,564.0,177.0,31.0,,,362.0,47.0,91.0,0.0,2.0,1398.0,300.0,,,436.0,87.0,1869.0,66.0,819.0,,10.0,129.0,96.0,85.0,39.0,86.0,32.0,47.0,,48.0,2.0,46.0,15.0,17.0,94.0,1.0,4.0,7.0,1.7548,15.0,,,,,4.0,1.0,,1.0,,1.0,3.0,3.0,33.0,23.0,4.0,21.0,,1.0,,,4.0,4.0,8.0,2.0,15.0,1.0,27.0,30.0,72.0,1.0,137.0,20.0,4.0,,,16.0,1.0,2.2289,,,,2.0,1.0,1.0,,1.0,,,,,,,,,
248853,Dynel Simeu,Defender,Oldham Athletic,England,2021-22,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213482,Yan Valery,Defender,Young Boys,Tunisia,2021-22,0.0881,0.0,,,23.0,5.0,3.0,38.0,139.0,0.0,,20.0,1.0,369.0,23.0,1.0,11.0,100.0,,10.0578,1.0,1.0,16.0,7.0,12.0,,0.0,46.0,0.0,,67.0,27.0,5.0,,,49.0,6.0,11.0,0.0,,135.0,55.0,,,44.0,1.0,223.0,9.0,53.0,,0.0,15.0,15.0,23.0,9.0,10.0,8.0,7.0,,12.0,1.0,14.0,3.0,2.0,26.0,1.0,,,,2.0,,,,3.0,,,,2.0,,1.0,,,,6.0,,3.0,,,4.0,3.0,6.0,,2.0,1.0,6.0,1.0,3.0,3.0,6.0,,16.0,6.0,,,,3.0,,0.037,,,,,,,,,,,,,,,,,
