playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,totalRedCards,catches,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,punches,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,totalTackles,totalTouchesInOppositionBox,goalkeeperSmother,lastPlayerTackle,tacklesWon,backwardPasses,successfulCrossesOpenPlay,blockedShots,shotsOnTargetIncGoals,overruns,totalShots,throughBalls,goalAssists,successfulLayoffs,unsuccessfulCrossesOpenPlay,goals,awayGoals,substituteOn,successfulCrossesAndCorners,throwInsToOppositionPlayer,homeGoals,tacklesLost,unsuccessfulDribbles,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,successfulDribbles,blocks,totalFoulsConceded,interceptions,throwInsToOwnPlayer,substituteOff,handballsConceded,offsides,unsuccessfulLayoffs,penaltiesConceded,ownGoalScored,clearancesOffTheLine,rightFootGoals,redCards2ndYellow,hitWoodwork,leftFootGoals,foulWonPenalty,cornersTakenInclShortCorners,successfulCornersIntoBox,attemptsFromSetPieces,unsuccessfulCornersIntoBox,setPiecesGoals,penaltiesTaken,penaltyGoals,otherGoals
87835,Matt Doherty,Defender,Wolverhampton Wanderers,39,Ireland,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19084,George Elokobi,Defender,Maidstone United,949,Cameroon,2010-11,99.0,0.0,,,235.0,27.0,23.0,313.0,1048.0,,,76.0,5.0,,2120.0,31.0,117.0,7.0,72.0,684.0,,1.0,9.0,11.0,133.0,37.0,68.0,330.0,,9.0,0.0,216.0,608.0,113.0,27.0,,,439.0,30.0,140.0,45.0,0.0,,1035.0,6.0,443.0,,,33.0,51.0,1721.0,68.0,305.0,,6.0,78.0,70.0,53.0,29.0,,1.0,36.0,77.0,9.0,4.0,4.0,3.0,9.0,3.0,2.0,12.0,32.0,2.0,1.0,4.0,9.0,50.0,1.0,17.0,11.0,2.0,32.0,22.0,5.0,10.0,9.0,25.0,33.0,223.0,4.0,2.0,,,,,,,,,,,,,,,,,,
18832,Richard Stearman,Defender,Derby County,24,England,2010-11,88.0,0.0,,,145.0,31.0,27.0,218.0,851.0,,,80.0,5.0,,2498.0,31.0,147.0,8.0,98.0,585.0,,3.0,4.0,13.0,199.0,50.0,57.0,139.0,,27.0,0.0,235.0,409.0,116.0,31.0,,,184.0,42.0,155.0,49.0,0.0,,827.0,3.0,261.0,,,194.0,48.0,1319.0,59.0,450.0,,7.0,73.0,52.0,61.0,14.0,,3.0,43.0,109.0,1.0,2.0,,4.0,2.0,2.0,,3.0,2.0,,,4.0,1.0,9.0,,18.0,4.0,,2.0,10.0,2.0,10.0,37.0,29.0,37.0,22.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
77610,Danny Batth,Defender,Derby County,24,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Jody Craddock,Defender,Wolverhampton Wanderers,39,England,2010-11,53.0,0.0,,,51.0,15.0,14.0,80.0,266.0,,,49.0,,,1176.0,20.0,64.0,3.0,35.0,161.0,,2.0,1.0,10.0,124.0,23.0,33.0,35.0,,11.0,0.0,117.0,118.0,28.0,15.0,,,40.0,20.0,68.0,29.0,0.0,,262.0,2.0,92.0,,,76.0,25.0,487.0,27.0,146.0,,5.0,29.0,26.0,24.0,14.0,,1.0,15.0,37.0,,4.0,1.0,,5.0,,,2.0,2.0,1.0,1.0,1.0,,,0.0,9.0,1.0,,2.0,3.0,4.0,,12.0,21.0,16.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
19008,Christophe Berra,Defender,Ipswich Town,40,Scotland,2010-11,123.0,1.0,,,195.0,32.0,31.0,269.0,904.0,,,152.0,5.0,,2790.0,58.0,189.0,9.0,95.0,591.0,,2.0,7.0,20.0,279.0,51.0,65.0,207.0,,42.0,0.0,312.0,465.0,96.0,32.0,,,165.0,42.0,160.0,94.0,0.0,,889.0,7.0,293.0,,,140.0,44.0,1447.0,64.0,471.0,,5.0,74.0,65.0,51.0,58.0,,2.0,34.0,92.0,1.0,3.0,6.0,,15.0,1.0,,2.0,5.0,,,1.0,1.0,,,17.0,,,5.0,4.0,9.0,2.0,26.0,45.0,57.0,1.0,,1.0,2.0,,,,,,1.0,,,,,,,,,,,
44528,Steven Mouyokolo,Defender,Wolverhampton Wanderers,39,France,2010-11,11.0,0.0,,,12.0,4.0,2.0,17.0,49.0,,,9.0,,,158.0,6.0,9.0,,6.0,29.0,,,,,16.0,5.0,5.0,11.0,,,0.0,20.0,28.0,3.0,4.0,,,13.0,5.0,11.0,3.0,0.0,,47.0,1.0,17.0,,,8.0,3.0,83.0,4.0,19.0,,0.0,5.0,2.0,6.0,2.0,,1.0,3.0,2.0,,,,,1.0,,,,,,,2.0,,,,3.0,,,,,1.0,,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
28565,Michael Mancienne,Defender,Burton Albion,587,Seychelles,2010-11,38.0,0.0,,,69.0,16.0,13.0,94.0,413.0,,,29.0,,,1116.0,13.0,64.0,4.0,48.0,289.0,,3.0,3.0,3.0,47.0,25.0,25.0,125.0,,8.0,0.0,102.0,140.0,64.0,16.0,,,121.0,21.0,73.0,16.0,0.0,,410.0,3.0,120.0,,,94.0,30.0,612.0,18.0,199.0,,1.0,25.0,13.0,34.0,2.0,,,19.0,54.0,1.0,2.0,,,1.0,,,9.0,7.0,,,3.0,1.0,2.0,,15.0,2.0,,7.0,9.0,1.0,6.0,12.0,9.0,29.0,23.0,5.0,1.0,,,,,,,,,,,,,,,,,,
92178,Ethan Ebanks-Landell,Defender,Rochdale,82,England,2010-11,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37847,Ronald Zubar,Defender,Wolverhampton Wanderers,39,Guadeloupe,2010-11,69.0,0.0,,,110.0,15.0,14.0,150.0,532.0,,,57.0,3.0,,1258.0,22.0,93.0,1.0,58.0,364.0,,,8.0,3.0,76.0,22.0,47.0,48.0,,12.0,0.0,162.0,236.0,75.0,15.0,,,215.0,21.0,105.0,35.0,0.0,,524.0,6.0,222.0,,,169.0,18.0,968.0,38.0,169.0,,4.0,40.0,36.0,39.0,28.0,,,29.0,79.0,2.0,2.0,4.0,3.0,11.0,1.0,,5.0,15.0,1.0,1.0,1.0,2.0,18.0,0.0,10.0,13.0,1.0,16.0,24.0,7.0,7.0,6.0,16.0,39.0,148.0,1.0,,2.0,,,1.0,,,,2.0,,,,,,,,,,
14947,Kevin Foley,Defender,Billericay Town,1185,Ireland,2010-11,61.0,0.0,,,246.0,33.0,30.0,350.0,1445.0,,,32.0,4.0,,2728.0,18.0,77.0,10.0,63.0,1010.0,,4.0,18.0,20.0,78.0,48.0,43.0,118.0,,18.0,0.0,138.0,667.0,151.0,33.0,,,622.0,38.0,106.0,14.0,0.0,,1413.0,16.0,503.0,,,492.0,85.0,2069.0,73.0,493.0,,3.0,104.0,68.0,35.0,27.0,,1.0,28.0,168.0,20.0,4.0,3.0,1.0,6.0,3.0,2.0,50.0,71.0,2.0,0.0,3.0,20.0,35.0,2.0,7.0,5.0,,71.0,20.0,3.0,10.0,6.0,15.0,63.0,195.0,3.0,,,4.0,1.0,,,1.0,,,1.0,,,,,,,,,
